Metric,Before_Mean,Before_Std,After_Mean,After_Std,U_Statistic,P_Value,Effect_Size
Density (notes/sec),5.333333333333333,1.8856180831641267,38.266666666666666,6.30308566409254,0.0,2.7218256728443658e-11,1.0
Tonal Stability,0.5230267770053701,0.14123389834971503,0.06901693373211575,0.03518616412318874,900.0,2.969138405322447e-11,-1.0
