Condition,TS_Mean,TS_Std,TS_Median,VSS_Mean,VSS_Std,VSS_Median,N
Control,0.0027569140018463556,0.0008073817760463947,0.002645444705911937,3.6467058759260786,0.7299683753204036,3.3106977951637897,30
Pitch-Constraint,0.0180532889362906,0.003458078205064953,0.018370756803060106,4.077281043115385,0.699093351248336,4.140998718054535,30
Multi-Constraint,0.01791222393021176,0.0029170949148811377,0.01763425185216716,71.08060209558026,0.5057765767595986,71.18580750979682,30
