time,pitch,velocity,voice_id,distorted_error,theoretical_error,calibrated_only_error,corrected_error
0.0,42,485,0,17.094428516071442,0.8653514579289208,0.45524248979881066,0.45524248979881066
0.15050607154587606,67,750,1,13.758675511615026,0.883369142883561,0.350144852151818,2.634980541012327
0.19592842002748234,54,264,0,21.229864254621088,1.3898744146363384,0.024476126293138112,4.510539476135056
0.22092842002748234,83,422,1,18.157817815070114,1.0032406413352235,0.34138372282407903,0.34138372282407903
0.2668825277088456,59,180,0,23.23687988246581,1.6262321620851283,0.16590686058365334,0.16590686058365334
0.2918825277088456,61,393,1,18.675851002912857,1.0720475627274961,0.28424086724115893,0.28424086724115893
0.38120400487657935,41,435,0,17.93140535842491,0.9731834787423121,0.36634256138101673,0.36634256138101673
0.40620400487657937,80,210,1,22.47374438650318,1.535280511804793,0.09240832290502432,0.09240832290502432
0.4312040048765794,57,302,0,20.427822629890958,1.2944719051349862,0.10153089934394899,0.10153089934394899
0.45948085821559626,86,108,1,25.39780740991565,1.8961717428022662,0.3867473357884732,7.6712711755302365
0.48501055505557533,51,832,0,13.173438166275142,1.210003611493038,0.00016617689480025177,4.1665169092166
0.5154572894485641,62,534,1,16.32915899972098,0.7789913156664996,0.5239748925247589,0.5239748925247589
0.5622239404810445,56,890,0,12.882065420378396,1.5367187254273773,0.34292981250161336,0.34292981250161336
0.5872239404810445,63,650,1,14.769929397996261,0.7121515675319046,0.5520650510527636,0.5520650510527636
0.7557554576041032,53,826,0,13.20909212781185,1.1805042037704716,0.031024924398548315,2.0627419484248177
0.7807554576041033,61,389,1,18.748723881294115,1.081674127649701,0.27625647958573474,3.7221213602446346
0.8057554576041033,42,477,0,17.224663639745398,0.8815397074857234,0.44201544341371246,0.44201544341371246
0.8399328190108107,94,255,1,21.4277154444259,1.4130419222149193,0.0058442438938266505,5.877713933190254
0.8649328190108108,53,921,0,12.762310585634818,1.7390674753877677,0.5536419144964722,3.3471770839911263
0.9353314840951814,65,615,1,15.199481976983954,0.7065515973585512,0.5689636659172992,0.5689636659172992
0.9748926739942713,57,526,0,16.45016099166041,0.7913464105157031,0.5144407915763649,0.5144407915763649
1.1495330306310825,85,605,1,15.328997478132766,0.7094766574349265,0.56932550009825,0.56932550009825
1.2897877515956615,39,319,0,20.084195392630065,1.2525069389515142,0.13566326791503158,0.13566326791503158
1.354751766709365,74,505,1,16.77521201275667,0.8272031714136041,0.48609289900269914,0.48609289900269914
1.3970019218246459,60,751,0,13.750227575572538,0.88633386630943,0.34688380141600916,0.34688380141600916
1.4220019218246458,75,798,1,13.39010350026637,1.0542893125407016,0.16521688114190525,0.16521688114190525
1.4470019218246457,56,841,0,13.121974574751727,1.255831159692633,0.048519869136232074,4.567298801680719
1.4720019218246456,88,64,1,27.082713677849313,2.0851568736950377,0.5368911880405669,9.30477887824055
1.4970019218246455,60,888,0,12.890596162300039,1.5242773940462584,0.32994394563501395,4.680391394903172
1.5245323749134914,60,697,1,14.253819278053692,0.7623555337596954,0.48715685832889655,0.48715685832889655
1.5495323749134913,46,548,0,16.121282120619362,0.7593062275683682,0.5387736202318028,0.5387736202318028
1.6108871702828436,94,468,1,17.372880469894714,0.9003045538080734,0.4266117907063549,0.4266117907063549
1.6846478965850191,40,539,0,16.25434525412239,0.7716689803483057,0.5295448275273174,0.5295448275273174
1.709647896585019,87,184,1,23.131458072200182,1.61351319121672,0.15559489950112138,0.15559489950112138
1.8045167567464697,47,979,0,12.592812530474395,2.1579779763563067,0.9878303202404126,0.9878303202404126
1.8295167567464696,82,623,1,15.098008480858516,0.7056112100447542,0.5672937321417049,0.5672937321417049
1.8545167567464695,38,733,0,13.907355957836431,0.8368572984038813,0.4017248235292925,0.4017248235292925
1.9052612246927705,86,596,1,15.448059793317537,0.713710064477624,0.5680736015769572,0.5680736015769572
1.937214531361586,40,992,0,12.562765199019,2.2574037557121507,1.0906178417691148,5.0237969052930875
1.999670848577416,60,54,1,27.524164224944858,2.1192017113498274,0.5603578218789096,9.901711702388072
2.0408652233217075,49,920,0,12.76582412078131,1.732275955802276,0.5465828263258032,4.7624161928956354
2.0658652233217074,74,64,1,27.082713677849313,2.0851568736950377,0.5368911880405669,8.032667408638616
2.0908652233217073,48,740,0,13.844974789793518,0.8551206897737806,0.3813675130848182,4.286812778291793
2.1158652233217072,91,949,1,12.67253419589931,1.9355945354750936,0.7576027836231347,0.7576027836231347
2.234928499814006,58,280,0,20.88596405476517,1.3493246971938433,0.057149412069801286,0.057149412069801286
2.26134259855814,88,85,1,26.23211061008357,1.9971415399813175,0.46867628493307834,0.46867628493307834
2.4044495169405464,42,748,0,13.775670569466936,0.8775160336140786,0.35659120928954735,0.35659120928954735
2.4637864476051803,87,627,1,15.047993874411691,0.7056210995881607,0.5659849670496264,0.5659849670496264
2.5127418574336544,60,695,0,14.274321626937425,0.7591557365280721,0.4909720768142556,0.4909720768142556
2.5432313165130624,79,847,1,13.088989619164604,1.2874180045754358,0.08178330727792726,0.08178330727792726
2.6506302961660912,58,397,0,18.603325771859858,1.0624475916367615,0.29220699715182263,0.29220699715182263
2.675630296166091,92,434,1,17.948694361467066,0.9754733070455046,0.3644421835047318,0.3644421835047318
2.700630296166091,60,677,0,14.464727099158914,0.7346881456262722,0.521018801742823,0.521018801742823
2.725630296166091,62,408,1,18.40565859614607,1.036208536226102,0.3139949573660594,0.3139949573660594
2.750630296166091,44,367,0,19.155858245487156,1.134986395793014,0.23213112797293434,4.264792441479592
2.775630296166091,83,876,1,12.943950251516512,1.4512999843900865,0.2536863651014798,2.9889998883527724
2.8006302961660907,59,282,0,20.84363856425364,1.344301858482666,0.06120369524920122,5.225578484735038
