time,pitch,velocity,voice_id
0.0,60,512,2
0.05555555555555555,60,512,2
0.1111111111111111,60,512,2
0.11212339110678275,63,512,1
0.1261165316048828,48,512,1
0.1609060643453282,61,512,1
0.1673611111111111,60,512,2
0.22741115281252894,60,512,2
0.2530461376917338,52,512,1
0.29212862858508215,60,512,2
0.36276293026627354,60,512,2
0.42831409697353007,60,512,2
0.47747320110137403,52,512,1
0.49275999182022573,28,512,1
0.49557518973071113,60,512,2
0.5219871568153419,87,512,1
0.5776972742542604,60,512,2
0.6734271977935458,60,512,2
0.7172172952116491,13,512,1
0.7734271977935457,60,512,2
0.8906404841103813,60,512,2
1.0156404841103814,60,512,2
1.1126072691879019,60,512,2
1.1625178229582545,1,512,1
1.1977291942258108,60,512,2
1.1997661495583274,53,512,1
1.2972770863692356,60,512,2
1.3381643187321948,15,512,1
1.3972770863692356,60,512,2
1.5214319290853429,60,512,2
1.621431929085343,60,512,2
1.717321722577096,60,512,2
1.7983167664437982,60,512,2
1.869917510407926,60,512,2
1.9413460818364974,60,512,2
1.9589204655517727,26,512,1
2.0172584822962305,60,512,2
2.0627956034179675,5,512,1
2.1030598169892167,60,512,2
2.118530094554673,62,512,1
2.2024515758047927,60,512,2
2.285784909138126,60,512,2
2.3691182424714596,60,512,2
2.4368472168852153,60,512,2
2.498604046183108,48,512,1
2.4993472168852153,60,512,2
2.5618472168852153,60,512,2
2.61986213997182,60,512,2
2.6432295647294,16,512,1
2.6766714220976895,60,512,2
2.7374005177977208,60,512,2
2.7945563714896027,60,512,2
2.79516696257425,63,512,1
2.8451067261937593,60,512,2
2.895106726193759,60,512,2
2.945106726193759,60,512,2
2.9929487300263227,60,512,2
3.038696530107298,60,512,2
3.0798119219319786,60,512,2
3.117141072964681,60,512,2
3.123881699262043,32,512,1
3.153751855968631,60,512,2
3.159611905638216,73,512,1
3.1924366866035743,60,512,2
3.233584661553286,60,512,2
3.27304268747631,60,512,2
3.3101874339614725,60,512,2
3.314179460317129,35,512,1
3.3461635081615486,60,512,2
3.3537201808579002,23,512,1
3.3830955899169326,60,512,2
3.421063417814818,60,512,2
3.4601583977352224,60,512,2
3.493549051904597,27,512,1
3.5004861298492815,60,512,2
3.5057343788812023,15,512,1
3.542169682865403,60,512,2
3.585353903610063,60,512,2
3.6302111907453587,60,512,2
3.674450710234655,60,512,2
3.717023803821537,60,512,2
3.7605426095148813,60,512,2
3.7737064214706324,16,512,1
3.7837625958552725,30,512,1
3.7848166698796044,53,512,1
3.8096405733060017,60,512,2
3.8646073387156403,60,512,2
3.9164419018515315,60,512,2
3.9672777397081096,60,512,2
3.983226863882735,79,512,1
4.005538542843972,19,512,1
