Condition,Pitch_Distance,Velocity_Distance,Temporal_Distance
Control,3.431314148278659,0.9279162122101969,0.0343353500812526
Control,2.3951303917933506,1.079471017179582,0.04031463868958369
Control,2.076628352490421,0.9003831417624519,0.06181596204174317
Control,2.1847186249117025,0.9677288543547081,0.04923096509992836
Control,1.7754146041334566,0.8738289006348408,0.06165174744566108
Control,1.3534791743912988,0.8217772834013102,0.051210655705765
Pitch-Constraint,2.380765924935537,2.4814521740316797,0.07243874712597986
Pitch-Constraint,1.785564739790092,1.1553646201533527,0.07349822717846399
Pitch-Constraint,2.6613791613791618,2.34958284958285,0.06084305246752256
Pitch-Constraint,2.070459861643359,2.3958592544667296,0.03684180300668198
Pitch-Constraint,1.2552941757888756,1.5815191875262544,0.05863482612247792
Pitch-Constraint,2.266743819560721,1.7920319117502213,0.0718220312864307
Multi-Constraint,2.4063559322033896,22.178954802259888,0.08474533940989165
Multi-Constraint,1.349661016949153,41.22728813559322,0.12148629349984583
Multi-Constraint,3.1995210022107585,61.26989683124538,0.08649273711105399
Multi-Constraint,1.8316666666666659,19.048333333333332,0.09806062808219834
Multi-Constraint,3.3547101449275356,39.0909420289855,0.09976585219912534
Multi-Constraint,2.9704347826086956,20.04260869565217,0.06758939781322477
