onset_time,pitch,velocity,voice_id
0.0,60,64,0
0.0,72,64,1
0.09385361799537183,67,64,2
0.3572027567044617,67,70,2
0.391127730796931,64,72,2
0.4030954845186671,72,85,2
0.4339278780119793,64,71,2
0.4455409185403938,72,93,2
0.75,72,64,1
1.0,60,64,0
1.0034560243043562,62,70,2
1.1956516815126275,62,71,2
1.1970699594715215,60,98,2
1.3458631970681854,71,91,2
1.3554211193209398,65,65,2
1.4084151993309446,69,96,2
1.5,72,64,1
1.601084334712311,65,52,2
1.9942217908670783,71,70,2
2.0,60,64,0
2.1139708196363727,62,53,2
2.25,72,64,1
2.684130195423493,69,99,2
2.7814922915251845,62,51,2
3.0,60,64,0
3.0,72,64,1
3.012042444144917,71,56,2
3.20036243816632,72,96,2
3.2384407614696697,60,85,2
3.2786770814526287,65,51,2
3.389408353654026,69,91,2
3.5571356027789864,67,67,2
3.75,72,64,1
3.8555846782066148,62,59,2
4.0,60,64,0
4.306015077713454,69,80,2
4.5,72,64,1
4.815902153567335,72,63,2
4.859529092493589,60,89,2
5.0,60,64,0
5.231794541982513,67,67,2
5.25,72,64,1
5.386966489172553,72,75,2
6.0,60,64,0
6.0,72,64,1
6.058912178304723,65,94,2
6.089291807868849,71,94,2
6.104786981631111,71,58,2
6.400683736879413,65,57,2
6.401791220954601,64,66,2
6.650293724742605,64,82,2
6.75,72,64,1
6.83655428234132,62,88,2
7.0,60,64,0
7.047135099257773,65,56,2
7.426610539903575,65,83,2
7.446665260980836,71,72,2
7.5,72,64,1
7.667696744855318,67,84,2
7.846650439941034,69,76,2
8.0,60,64,0
8.011412544039317,64,86,2
8.25,72,64,1
8.724476736959748,64,50,2
8.980309075528957,71,63,2
9.0,60,64,0
9.0,72,64,1
9.116472021831013,60,64,2
9.228034860612699,62,62,2
9.273093833943449,72,88,2
9.402106324376524,67,81,2
9.639933728819189,67,72,2
9.75,72,64,1
9.825412851146986,71,92,2
9.87080833557345,67,81,2
10.0,60,64,0
10.053500018153528,64,71,2
10.47833398100153,62,94,2
10.5,72,64,1
10.548425326108188,67,55,2
10.67038316242582,65,93,2
10.778128737630196,69,60,2
10.85654328149679,71,77,2
10.944647109765054,69,82,2
11.0,60,64,0
11.00817429147115,64,62,2
11.25,72,64,1
11.402443285847117,71,55,2
11.545418517714827,60,86,2
11.781232955764487,62,93,2
11.837208946025921,64,81,2
11.983499507177951,60,98,2
11.99691820969791,62,61,2
12.0,60,64,0
12.0,72,64,1
12.05493046869635,62,52,2
12.12651656071216,60,66,2
12.188578734515993,62,51,2
12.29445712216657,71,86,2
12.379102887141897,60,68,2
12.607431137714695,67,93,2
12.726194036121772,69,81,2
12.75,72,64,1
12.905833480292294,71,60,2
12.998130905795467,60,87,2
13.0,60,64,0
13.089835465648328,65,83,2
13.290603031075856,64,97,2
13.5,72,64,1
13.610842547541191,60,55,2
13.84886494753068,64,69,2
13.927757787214272,65,68,2
14.0,60,64,0
14.17612701482517,71,68,2
14.25,72,64,1
14.261873553224259,71,90,2
14.496716058737803,72,88,2
15.0,60,64,0
15.0,72,64,1
15.048784822298664,60,60,2
15.132211309097698,60,99,2
15.649449388527843,69,91,2
15.709114862540142,65,65,2
15.75,72,64,1
16.0,60,64,0
16.049011677067988,60,98,2
16.10438708615557,72,61,2
16.267808994072844,72,58,2
16.33319653976819,64,97,2
16.5,72,64,1
16.708217549755293,65,73,2
16.811891057323347,60,73,2
17.0,60,64,0
17.192556833060628,60,57,2
17.25,72,64,1
17.50029741929404,72,69,2
17.674124762976746,72,74,2
17.891957240434795,67,67,2
17.927020403655636,62,51,2
18.0,60,64,0
18.0,72,64,1
18.1624834609866,72,90,2
18.20118226906992,65,82,2
18.33738398561138,72,69,2
18.428673186791602,72,56,2
18.683938825807353,72,82,2
18.75,72,64,1
18.8403520925618,64,71,2
18.901984122133566,69,79,2
19.0,60,64,0
19.5,72,64,1
19.624446003366153,67,57,2
19.82391288051345,62,70,2
19.963599945391206,65,96,2
20.0,60,64,0
20.099258632059545,67,97,2
20.1651741057328,64,98,2
20.174090703153897,65,77,2
20.25,72,64,1
20.3010454206204,69,55,2
20.393502899919874,60,86,2
20.92060759138625,60,95,2
21.0,60,64,0
21.0,72,64,1
21.60077599461066,64,82,2
21.616443183083945,67,70,2
21.658812461906773,60,52,2
21.695956185165926,60,91,2
21.75,72,64,1
22.0,60,64,0
22.246214879327333,62,52,2
22.415037346614465,72,99,2
22.5,72,64,1
22.60594348971801,69,72,2
22.63612760704646,64,91,2
23.0,60,64,0
23.055849334626622,60,89,2
23.25,72,64,1
23.294664219686958,64,97,2
23.45562302553118,62,75,2
23.78788866534859,60,73,2
24.0,60,64,0
24.0,72,64,1
24.276811857715916,62,56,2
24.416048733226155,67,69,2
24.625992548203715,72,95,2
24.75,72,64,1
24.943716443194557,65,72,2
24.94931750011558,62,51,2
25.0,60,64,0
25.06473698419807,71,71,2
25.144281813800326,62,71,2
25.32300831982956,69,98,2
25.33062101968612,69,64,2
25.41993802452767,65,86,2
25.5,72,64,1
25.567668742183475,67,93,2
26.0,60,64,0
26.239594418478333,71,53,2
26.25,72,64,1
26.608655678678396,72,79,2
26.764237767217345,71,89,2
27.0,60,64,0
27.0,72,64,1
27.02322987980068,67,99,2
27.16848810364675,69,68,2
27.485618899593288,71,68,2
27.60121558584795,71,75,2
27.606351107756243,67,72,2
27.718184351786515,65,50,2
27.75,72,64,1
27.756245659014937,60,96,2
27.813846856840254,69,97,2
27.85423729270888,67,50,2
28.0,60,64,0
28.473857992420143,71,54,2
28.5,72,64,1
28.66306408682763,71,52,2
28.719996345282443,72,86,2
28.745600443041315,67,63,2
28.764858369382427,71,98,2
28.83948118067323,69,54,2
28.968038099555805,62,75,2
29.0,60,64,0
29.10334169271525,71,85,2
29.141380635275297,69,86,2
29.243047958191937,62,54,2
29.25,72,64,1
29.678556562544628,65,80,2
29.681641135259667,64,81,2
30.0,60,64,0
30.0,72,64,1
30.026874369101375,63,65,2
30.02870393000778,66,51,2
30.029375656824463,70,69,2
30.050795217963902,61,84,2
30.076565896910026,60,92,2
30.14751907556585,62,50,2
30.22874637210352,69,92,2
30.23419377862703,71,80,2
30.246034396392517,62,99,2
30.274756268206946,60,75,2
30.284360197914317,69,59,2
30.284948872993834,61,90,2
30.302080206187494,69,99,2
30.326865185598326,67,85,2
30.340394988261796,68,85,2
30.345278320662807,68,73,2
30.38638355024389,60,84,2
30.399685534097706,61,98,2
30.437134396681294,67,72,2
30.503887844791276,64,61,2
30.51789673502733,66,74,2
30.52469970209281,60,98,2
30.54229238933673,68,71,2
30.551124947224718,62,98,2
30.552499166577558,68,68,2
30.55489230684127,66,77,2
30.629816616420978,63,68,2
30.64679898851389,64,54,2
30.655474557982544,68,70,2
30.69037050482412,66,65,2
30.72934128062034,64,91,2
30.75,72,64,1
30.82082255769067,69,54,2
