onset_time,pitch,velocity,duration,section_id,symbol
0.015601864044243652,62,541,0.4010515284806526,0,A
0.01834045098534338,55,408,0.3241962271566034,0,A
0.04319450186421158,66,557,0.14761240023841388,0,A
0.17851759613930138,54,457,0.3067528204687924,0,A
0.2607544851901439,55,629,0.3947439821046639,0,A
0.34951769101112706,54,477,0.3822544912103189,0,A
0.454671027934328,61,499,0.38817610389486107,0,A
0.528093450968738,47,613,0.1869447695318433,0,A
0.580219698075404,54,703,0.36116762888408677,0,A
0.6358465728544272,67,709,0.1491846710452517,0,A
0.8729606178338063,66,496,0.32965613843289704,0,A
0.9107891426993303,60,609,0.27009926495341324,0,A
0.9522732829381994,59,593,0.26013616099847986,0,A
0.9755551138543048,53,691,0.24982429564154635,0,A
0.9907566473926093,44,450,0.24655835463264947,0,A
1.0892558998489976,62,617,0.43718621335497765,0,A
1.122793516254194,70,334,0.270804732917438,0,A
1.1392558998489977,62,519,0.26572854834732307,0,A
1.2284840494377467,59,556,0.31023476825496665,0,A
1.2703018958895178,62,408,0.2925554084233833,0,A
1.3278646464236612,58,596,0.3301547342333612,0,A
1.4367783132719254,71,511,0.43923257534919025,0,A
1.4761619615328718,50,509,0.3791031947043047,0,A
1.5016587828927859,47,493,0.3068562974806027,0,A
1.5040775141554765,60,687,0.4706604953678462,0,A
1.6093102767805902,61,719,0.15599585523162018,0,A
1.6341066351050262,63,655,0.26432549742318057,0,A
1.6659984046034182,61,439,0.4307142754282428,0,A
1.7005061583846222,54,478,0.31748330119914714,0,A
1.7691895197692697,50,502,0.36565536086338296,0,A
1.7779875545857629,54,629,0.32322536971610033,0,A
1.8093674767828096,49,687,0.2228219250506741,0,A
1.8849223410494182,66,789,0.382206015999449,0,A
1.9280772362440861,60,587,0.2862728182902184,0,A
1.949251769381887,58,514,0.3625667347765006,0,A
1.9966654819043677,65,448,0.2153206281931595,0,A
2.0556801262458353,61,511,0.33853173797288366,0,A
2.105680126245835,61,605,0.4057423508862376,0,A
2.1293591844264497,64,651,0.3513785950912209,0,A
2.1795792669436107,57,522,0.37589692204932673,0,A
2.1798295178966782,87,698,0.43308813279720854,0,A
2.2465598018132464,58,635,0.1211503495019503,0,A
2.303734818874922,56,606,0.4088950596967366,0,A
