Condition,Mean_wVSS,SD_wVSS,Mean_Rejection_Rate,SD_Rejection_Rate,Mean_Efficiency,SD_Efficiency
none,0.21505999771499593,0.008304621609165534,0.0,0.0,0.21505999771499593,0.008304621609165534
global,0.26302952084222003,0.04561668436447532,82.71222719417649,27.77725234397772,0.003661188242151889,0.0018056293914656863
simple_reactive,0.21450992044742967,0.01134239715984615,2.043932126967487,1.1753834287703169,0.0784497849358191,0.02465178058321904
chained_reactive,0.22007410218125534,0.011080847066309641,1.082820906183475,0.7556917212088466,0.11968281028980868,0.045944531568883513
