Model,R²,RMSE,Parameters
Linear,0.33888311366015,0.030159955560400742,y = -0.002137*x + 0.305182
Quadratic,0.44049696953984907,0.027745515216983287,y = 0.000129*x² + -0.008020*x + 0.358807
