condition,total_events,pearson_r,pearson_p,wVSS,velocity_component,pitch_component,time_component
Control,1846,-0.01356928026676823,0.5601373989394509,1.9833632022334864,1.6767566520595665,17.404073649560797,0.8827776744490805
Coupled,1823,0.9999986505720106,0.0,210.29022615805863,216.42967331571307,17.313099611502242,0.7181049586900107
