Metric,Same-Symbol Mean,Same-Symbol SD,Different-Symbol Mean,Different-Symbol SD,Difference,t-statistic,p-value,Cohen's d
Melodic Coherence,0.7063457476500955,0.024083438431028156,0.5626205487853383,0.04808616819574712,0.1437251988647572,9.751794623542647,1.7843444866984546e-10,3.695270681340559
Rhythmic Coherence,0.9082144297352802,0.014318079328352828,0.7503674307095696,0.03803398585739347,0.15784699902571064,14.09389597872634,5.486864179836106e-14,5.340633453284424
