,S0(A),S1(B),S2(A),S3(A),S4(B),S5(A),S6(B),S7(A)
S0(A),0.6875,0.6022727272727273,0.7080745341614907,0.6832298136645962,0.6285714285714286,0.7080745341614907,0.6514522821576764,0.68944099378882
S1(B),0.6022727272727273,0.7348484848484849,0.5075757575757576,0.4810606060606061,0.7310606060606061,0.5265151515151515,0.7537878787878788,0.5643939393939394
S2(A),0.7080745341614907,0.5075757575757576,0.7313432835820896,0.7259259259259259,0.5469387755102041,0.7291666666666667,0.5518672199170125,0.7012987012987013
S3(A),0.6832298136645962,0.4810606060606061,0.7259259259259259,0.671875,0.5183673469387755,0.6875,0.5186721991701244,0.6753246753246753
S4(B),0.6285714285714286,0.7310606060606061,0.5469387755102041,0.5183673469387755,0.6885245901639344,0.5673469387755101,0.7142857142857143,0.6
S5(A),0.7080745341614907,0.5265151515151515,0.7291666666666667,0.6875,0.5673469387755101,0.6388888888888888,0.5684647302904564,0.6753246753246753
S6(B),0.6514522821576764,0.7537878787878788,0.5518672199170125,0.5186721991701244,0.7142857142857143,0.5684647302904564,0.75,0.6058091286307055
S7(A),0.68944099378882,0.5643939393939394,0.7012987012987013,0.6753246753246753,0.6,0.6753246753246753,0.6058091286307055,0.6363636363636364
