,S0(A),S1(B),S2(A),S3(A),S4(B),S5(A),S6(B),S7(A)
S0(A),0.85,0.7323781291172595,0.9020013802622499,0.9166064808127498,0.8014196983141082,0.9184351276742582,0.7939743821035541,0.9096555618294748
S1(B),0.7323781291172595,0.9135438352995605,0.7477272727272728,0.6892177589852009,0.9108379715522572,0.7386363636363636,0.90283540802213,0.6688311688311688
S2(A),0.9020013802622499,0.7477272727272728,0.8507462686567164,0.9023255813953488,0.7543461829176115,0.9277777777777778,0.7982787767020132,0.881962481962482
S3(A),0.9166064808127498,0.6892177589852009,0.9023255813953488,0.8125,0.7496282233823762,0.9265180878552972,0.7546077390716974,0.9008859357696567
S4(B),0.8014196983141082,0.9108379715522572,0.7543461829176115,0.7496282233823762,0.9262295081967213,0.7617063492063492,0.9217545939537641,0.740074211502783
S5(A),0.9184351276742582,0.7386363636363636,0.9277777777777778,0.9265180878552972,0.7617063492063492,0.8959311424100156,0.7942600276625174,0.8851911976911977
S6(B),0.7939743821035541,0.90283540802213,0.7982787767020132,0.7546077390716974,0.9217545939537641,0.7942600276625174,0.85,0.7304251764832678
S7(A),0.9096555618294748,0.6688311688311688,0.881962481962482,0.9008859357696567,0.740074211502783,0.8851911976911977,0.7304251764832678,0.8361244019138756
