onset_time,pitch,velocity,voice_id
0.0,60,80,0
0.0,60,80,1
0.010428179777263536,69,68,2
0.039689195189384636,67,61,2
0.04345863675521455,72,96,2
0.04478838716874079,62,60,2
0.06521243502712445,76,63,2
0.06567464187154975,55,95,2
0.10537307616832031,84,84,2
0.10983260925164616,80,62,2
0.11789380323965676,69,68,2
0.13046129361255313,52,81,2
0.1514917574769931,65,82,2
0.15916987996593537,84,71,2
0.17270176191837483,77,69,2
0.17765144774345684,78,93,2
0.19759599710589595,57,69,2
0.21838117534255397,62,89,2
0.21987592936209407,65,81,2
0.2947788258612313,70,65,2
0.3028518894160926,80,61,2
0.3183098861837907,62,80,1
0.3284685730405073,63,89,2
0.33136084490616174,82,61,2
0.3321384831604613,81,91,2
0.3387931004235877,75,75,2
0.34709413557153485,49,71,2
0.364676886637797,77,60,2
0.36787944117144233,62,80,0
0.4422948229208243,60,67,2
0.5046302544606373,63,72,2
0.5248759080691545,52,74,2
0.5269349182681127,75,67,2
0.5279634063944867,67,69,2
0.5388996351010249,71,64,2
0.578112032106379,74,78,2
0.5854409841093623,77,97,2
0.5888164985053763,74,70,2
0.6234156017287724,73,79,2
0.6235386555149043,54,79,2
0.6366197723675814,64,80,1
0.6508074534568387,52,80,2
0.6835899984800279,70,77,2
0.6934542800892775,75,69,2
0.7357588823428847,64,80,0
0.7376438261261269,81,93,2
0.7465731328206002,62,85,2
0.7548506517186081,79,89,2
0.7839145580287801,73,68,2
0.832409044971036,78,90,2
0.835239542606936,66,63,2
0.8670260482308663,56,65,2
0.8997791586024522,76,73,2
0.9162164661308358,51,63,2
0.9167886388861717,50,85,2
0.9174982762482395,76,98,2
0.9258848697770196,58,76,2
0.954929658551372,65,80,1
0.9788018815513746,80,78,2
0.9905414809932118,58,65,2
0.9963149289247095,74,88,2
1.0039180467888664,80,70,2
1.0629169375862138,68,75,2
1.08521680848667,78,89,2
1.103638323514327,65,80,0
1.1213938960586824,49,84,2
1.1709675272861393,74,99,2
1.2075752670928852,83,70,2
1.2160803941244034,58,66,2
1.2218289884830562,65,85,2
1.259691871297255,48,81,2
1.2598469026124026,82,84,2
1.2718529764105952,82,78,2
1.2732395447351628,67,80,1
1.274690318444943,78,90,2
1.338315232282524,75,85,2
1.354569739077194,48,95,2
1.4375471693773798,72,82,2
1.4528284866765764,67,72,2
1.460278479485045,50,84,2
1.4715177646857693,67,80,0
1.4811783032846582,49,61,2
1.4823527718931113,65,61,2
1.5354385708062077,57,75,2
1.5389170343836627,52,68,2
1.5915494309189535,69,80,1
1.6332289673306684,56,87,2
1.6580101897817192,49,72,2
1.664039815833626,81,94,2
1.6742292113728328,78,72,2
1.696536718642558,57,90,2
1.6986395888383718,59,80,2
1.7072353731420917,83,91,2
1.7081604789152993,68,93,2
1.733312739676796,53,67,2
1.749260086000118,50,61,2
1.7722850713678444,57,97,2
1.7983786830915716,52,91,2
1.8393972058572117,69,80,0
1.859719656820556,73,99,2
1.8689892664648933,68,87,2
1.909859317102744,71,80,1
1.9264601641793537,73,96,2
1.9330896612918314,73,60,2
1.9708559740171474,55,69,2
1.987617738688124,52,63,2
1.9897894306986783,62,94,2
2.041051084646421,63,69,2
2.0502521181977835,48,70,2
2.079018016636164,63,73,2
2.1274876292894223,84,97,2
2.150316755813149,50,71,2
2.154234405028336,78,76,2
2.174956492738682,60,75,2
2.177334201659481,63,94,2
2.177446966927299,68,61,2
2.1951291412859417,49,70,2
2.207276647028654,71,80,0
2.2185833964445028,74,62,2
2.228169203286535,72,80,1
2.2462593361978036,73,88,2
2.2550067786182053,72,77,2
2.278312863380489,58,79,2
2.3021309364509284,55,73,2
2.3043166489275597,55,93,2
2.3111646522133116,80,90,2
2.391438194572488,54,99,2
2.4409060881557885,68,77,2
2.4761022048821975,55,89,2
2.495216780496455,68,84,2
2.5000437781703493,67,78,2
2.5073677196895994,55,67,2
2.530411470496161,78,87,2
2.5464790894703255,60,80,1
2.5751560882000963,72,80,0
2.647846871205209,76,67,2
2.7342524505064354,56,90,2
2.7420030297991502,62,62,2
2.7843302887431074,77,62,2
2.7884573691052355,73,81,2
2.8495972240120584,57,76,2
2.864788975654116,62,80,1
2.8683552759328506,76,95,2
2.8929208604252947,63,76,2
2.9395566079342013,83,73,2
2.9430355293715387,60,80,0
2.9660915951631273,67,68,2
2.9759914249923485,84,89,2
3.0128219695981198,69,80,2
3.073578487027027,54,71,2
3.109155152189438,70,96,2
3.136056277711916,76,91,2
3.183098861837907,64,80,1
3.185107910519622,63,70,2
3.195573172491345,75,79,2
3.2147601508604438,78,94,2
3.2286847497089353,61,70,2
3.23618765327148,80,67,2
3.2368759879848463,56,63,2
3.2753060184190272,74,86,2
3.2783257748923034,71,99,2
3.310914970542981,62,80,0
3.3109846180133196,60,97,2
3.332656165094575,73,89,2
3.3338353894481374,76,86,2
3.3511222881746874,75,80,2
3.3960389922223997,75,79,2
3.4312757473275703,55,63,2
3.444119823578088,70,70,2
3.484863051392678,76,72,2
3.496548821269681,52,68,2
3.500329282193522,54,63,2
3.5014087480216975,65,80,1
3.518035741044929,83,71,2
3.5420221932604137,74,68,2
3.610868937672776,49,72,2
3.628829615049028,72,85,2
3.6409193453941846,56,97,2
3.6506974371569205,74,72,2
3.6510196167062716,48,98,2
3.6520661584163276,70,87,2
3.6787944117144233,64,80,0
3.695048448052231,57,78,2
3.7093325501502954,72,83,2
3.724366282723567,50,78,2
3.7285928318969055,53,72,2
3.7398892011098654,53,72,2
3.7622917463552192,49,87,2
3.7727225020142208,65,61,2
3.7882656009610605,70,69,2
3.8121539290511715,49,81,2
3.8137802054124212,59,72,2
3.8143772959161413,69,68,2
3.819718634205488,67,80,1
3.8769829727025225,84,92,2
3.8879007658630536,67,73,2
3.9015220097308556,71,79,2
3.964591501869367,67,74,2
4.041635682368193,48,91,2
4.043996245378897,48,92,2
4.046200801193469,64,76,2
4.046673852885865,65,80,0
4.047841904014501,48,83,2
4.0892535937944405,77,89,2
4.126687605043017,50,72,2
4.129482052150331,58,75,2
4.138028520389279,69,80,1
4.181030780043611,71,61,2
4.188393754761538,69,76,2
4.219255008006103,73,91,2
4.322744005564775,60,67,2
4.333082759163924,48,62,2
4.385784377566079,71,71,2
4.414553294057308,67,80,0
4.416668482377089,57,79,2
4.434725038122944,82,75,2
4.45425223546127,71,73,2
4.45633840657307,71,80,1
4.506650175393769,75,75,2
4.582041357026859,83,92,2
4.604246469924426,63,89,2
4.6119580872298975,63,71,2
4.636765277894975,64,74,2
4.671614064922112,62,77,2
4.673739330400786,63,87,2
4.675056701655203,62,82,2
4.697606632643096,81,73,2
4.701035691632921,58,89,2
4.722433595627321,48,92,2
4.72438594055329,62,74,2
4.726064742542753,73,66,2
4.753286959278975,51,74,2
4.7656756581752,52,97,2
4.7746482927568605,72,80,1
4.782432735228751,69,80,0
4.897772310239303,82,70,2
4.908261665786395,60,88,2
4.941622611129832,57,90,2
4.956509574091539,58,84,2
4.956763320523374,65,83,2
4.958051107880395,81,78,2
4.960829468591672,70,61,2
4.991287195649371,54,81,2
5.064058755851646,50,79,2
5.092958178940651,60,80,1
5.096785506839062,59,92,2
5.150312176400193,71,80,0
5.17419828953364,54,67,2
5.1962566959865555,73,84,2
5.209726201668266,80,68,2
5.230267031080472,84,93,2
5.310537503698706,62,82,2
5.317756913029709,49,64,2
5.3316026596698,54,84,2
5.351074742025503,79,67,2
5.411268065124442,62,80,1
5.459137497679621,51,75,2
5.467368148825273,67,74,2
5.493019917350803,83,60,2
5.518191617571635,72,80,0
5.5467599416174505,79,81,2
5.613243019951526,75,62,2
5.634363109275779,60,97,2
5.695369582613562,48,73,2
5.705866199537635,82,95,2
5.729577951308232,64,80,1
5.802850098831416,77,77,2
5.82288841283621,83,77,2
5.886071058743077,60,80,0
5.941241715077229,72,62,2
5.953149158106726,63,69,2
6.0478878374920235,65,80,1
6.118238442636483,66,98,2
6.192906333856827,48,60,2
6.2062135966879355,52,86,2
6.25395049991452,62,80,0
6.2746630141644175,69,86,2
6.280431985840384,71,70,2
6.301824662168007,84,64,2
6.304503309310196,83,66,2
6.320827985403219,83,78,2
6.354984962724219,51,88,2
6.366197723675814,67,80,1
6.401490710351547,83,74,2
6.404688220471332,65,94,2
6.435956163863834,63,96,2
6.4630153938148975,65,71,2
6.46627345050886,69,89,2
6.4758665007647505,49,79,2
6.486932764488332,68,96,2
6.539045242776808,83,62,2
6.555079132289526,76,68,2
6.566303135207286,73,98,2
6.621829941085962,64,80,0
6.628963697518278,68,85,2
6.657698769963568,64,61,2
6.679998464940406,63,82,2
6.681751693939877,78,82,2
6.684507609859605,69,80,1
6.684796547808033,56,80,2
6.688117882609533,78,75,2
6.692578912765855,61,68,2
6.743045004435374,84,72,2
6.767518095183205,49,87,2
6.772263672538652,61,86,2
6.77637583574011,80,76,2
6.7807049872397345,82,97,2
6.783561791984031,67,95,2
6.788697174347256,49,60,2
6.804252845118685,66,77,2
6.827112832240181,84,68,2
6.874471888374587,65,72,2
6.910937114668513,63,99,2
6.915469995380997,51,74,2
6.925754108937094,59,63,2
6.947154149693951,76,92,2
6.96095172989886,54,83,2
6.961782239950448,61,95,2
6.989709382257404,65,80,0
7.002817496043395,71,80,1
7.005477150776325,59,69,2
7.007996291632784,82,95,2
7.024898664945124,52,79,2
7.031869211875758,64,70,2
7.032319775447988,79,71,2
7.037598818461846,57,77,2
7.060442416621053,64,89,2
7.095035950673893,52,96,2
7.097056663885391,56,79,2
7.116699398504755,80,84,2
7.129255724046599,83,71,2
7.136672661385748,83,80,2
7.159744319421789,65,84,2
7.190211869824434,56,70,2
7.19259726992721,76,68,2
7.198870755469324,61,84,2
7.20345946092387,72,94,2
7.209549197507312,62,91,2
7.223929928667016,53,73,2
7.321127382227186,72,80,1
7.339212655292858,76,60,2
7.34337708935478,62,76,2
7.357588823428847,67,80,0
7.402274535909446,76,84,2
7.421112926164081,51,67,2
7.453723454128794,65,64,2
7.462414294420332,63,64,2
7.478158404701325,58,94,2
7.480869144082306,61,78,2
7.488437218936451,50,82,2
7.4921631023313555,65,68,2
7.509064152289779,67,89,2
7.518183787876011,72,75,2
7.534816923777908,60,92,2
7.566551728729646,51,61,2
7.580726320819541,61,73,2
7.632668074479138,80,60,2
7.639437268410976,60,80,1
7.694582013707166,75,85,2
7.696111131873221,84,84,2
7.7234481355105515,55,75,2
7.7254682646002895,69,80,0
7.751751653190016,81,74,2
7.785552742800891,52,85,2
7.799356321909771,52,75,2
7.82995137330837,78,73,2
7.846586357160721,56,88,2
7.899241815132046,79,83,2
7.9239616272385485,80,74,2
7.948800567864755,50,78,2
7.957747154594768,62,80,1
8.002307115657262,77,67,2
8.00865532940279,59,93,2
8.009413274732964,76,61,2
8.05629575973367,50,86,2
8.09176254558537,73,69,2
8.09334770577173,71,80,0
8.097549057195254,77,94,2
8.125840083239513,56,82,2
8.152151232330349,73,67,2
8.158597536758336,49,87,2
8.182508877406184,50,82,2
8.199983923105066,51,63,2
8.215650466233804,72,73,2
8.275834126613754,60,88,2
8.276057040778557,64,80,1
8.329640086478609,82,60,2
8.348722356475331,70,63,2
8.360986234340283,56,91,2
8.434831593941752,49,92,2
8.461227146943173,72,80,0
8.57620368016541,78,85,2
8.59436692696235,65,80,1
8.596086208761612,49,76,2
8.597337723189241,79,98,2
8.633422343435157,65,82,2
8.642438207803828,60,91,2
8.669017321915266,52,74,2
8.69873974306339,57,72,2
8.70439268692345,72,61,2
8.70776646296637,81,78,2
8.72309730836199,84,83,2
8.777837146923163,77,83,2
8.797146088785059,54,70,2
8.797438998670074,53,81,2
8.805372455214728,50,74,2
8.822856017510478,60,69,2
8.829106588114616,60,80,0
8.834736544560243,50,86,2
8.835563974379303,73,68,2
8.854053843349885,71,87,2
8.887253900985405,53,60,2
8.903768515531906,59,76,2
8.91267681314614,67,80,1
8.915148475560239,83,90,2
8.918897431266037,49,69,2
8.973258576060955,58,96,2
8.996210204174165,81,88,2
8.996781629701557,73,77,2
9.024752368809402,65,97,2
9.025362810095723,68,98,2
9.031201956294632,83,65,2
9.031644342545569,69,99,2
9.067400307596596,77,71,2
9.090904731794831,77,73,2
9.093232288094494,55,69,2
9.161106639496108,81,79,2
9.185615012349544,56,74,2
9.19361547406085,67,90,2
9.196986029286059,62,80,0
9.19879436917729,72,66,2
9.203243324805964,66,69,2
9.23098669932993,69,80,1
9.253196263059014,52,69,2
9.259870179773397,58,98,2
9.279699463109916,62,87,2
9.30144529078874,55,89,2
9.319291232266847,66,96,2
9.35909244291118,70,62,2
9.404170330193832,74,74,2
9.466465799294907,79,80,2
9.473419144801051,73,96,2
9.495723529955152,74,71,2
9.549296585513721,71,80,1
9.564865470457502,64,80,0
9.591516831777772,66,63,2
9.595702495414663,76,68,2
9.598899004998152,80,98,2
9.606016367855993,66,87,2
