onset_time,pitch,velocity,voice_id,duration,base_ioi,raw_pitch,raw_velocity,tempo_ratio,trigger_time,compensation_ms
0.0,40,50,0,0.225,0.25,63.97371322408986,400.0,1.0,-0.022179863147605082,22.179863147605083
0.0,48,50,2,0.225,0.25,59.89202220209653,400.0,1.0,-0.022179863147605082,22.179863147605083
0.0,72,50,3,0.225,0.25,62.74894631654769,400.0,1.0,-0.022179863147605082,22.179863147605083
0.25,24,50,0,0.225,0.25,58.893885590630525,400.0,1.0,0.2278201368523949,22.179863147605083
0.25,48,50,1,0.225,0.25,62.51397866076219,400.0,1.0,0.2278201368523949,22.179863147605083
0.25,52,50,2,0.225,0.25,51.538312568352794,400.0,1.0,0.2278201368523949,22.179863147605083
0.25,55,50,3,0.225,0.25,45.895678757098125,400.0,1.0,0.2278201368523949,22.179863147605083
0.5,40,50,0,0.225,0.25,65.18150830480553,400.0,1.0,0.47782013685239494,22.179863147605083
0.5,67,50,2,0.225,0.25,66.5803592968255,400.0,1.0,0.47782013685239494,22.179863147605083
0.5,72,50,3,0.225,0.25,62.592671755158364,400.0,1.0,0.47782013685239494,22.179863147605083
0.75,48,50,0,0.225,0.25,72.1842388512642,400.0,1.0,0.7278201368523949,22.179863147605083
0.75,36,50,1,0.225,0.25,48.701570389317666,400.0,1.0,0.7278201368523949,22.179863147605083
0.75,67,50,3,0.225,0.25,56.91934175666947,400.0,1.0,0.7278201368523949,22.179863147605083
1.0,24,50,0,0.225,0.25,58.12677300221331,400.0,1.0,0.9778201368523949,22.179863147605083
1.0,48,50,1,0.225,0.25,71.72519015137243,400.0,1.0,0.9778201368523949,22.179863147605083
1.0,60,50,2,0.225,0.25,61.670908760038046,400.0,1.0,0.9778201368523949,22.179863147605083
1.0,67,50,3,0.225,0.25,54.58462399755233,400.0,1.0,0.9778201368523949,22.179863147605083
1.25,24,50,0,0.225,0.25,58.126904344406555,400.0,1.0,1.2278201368523949,22.179863147605083
1.25,36,50,1,0.225,0.25,58.19378959610771,400.0,1.0,1.2278201368523949,22.179863147605083
1.25,43,50,2,0.225,0.25,44.322639008961794,400.0,1.0,1.2278201368523949,22.179863147605083
1.25,76,50,3,0.225,0.25,64.89341031072695,400.0,1.0,1.2278201368523949,22.179863147605083
1.5,48,50,0,0.225,0.25,72.63370252405913,400.0,1.0,1.4778201368523949,22.179863147605083
1.5,79,50,3,0.225,0.25,68.2479961799676,400.0,1.0,1.4778201368523949,22.179863147605083
1.75,43,50,0,0.225,0.25,66.13947783322327,400.0,1.0,1.7278201368523949,22.179863147605083
1.75,36,50,1,0.225,0.25,48.60201451029235,400.0,1.0,1.7278201368523949,22.179863147605083
1.75,60,50,2,0.225,0.25,61.57488988695299,400.0,1.0,1.7278201368523949,22.179863147605083
1.75,79,50,3,0.225,0.25,67.45024095292959,400.0,1.0,1.7278201368523949,22.179863147605083
2.0,31,50,0,0.225,0.25,56.24420491252038,400.0,1.0,1.9778201368523949,22.179863147605083
2.0,43,50,1,0.225,0.25,55.64493820379854,400.0,1.0,1.9778201368523949,22.179863147605083
2.0,64,50,2,0.225,0.25,65.90773263996329,400.0,1.0,1.9778201368523949,22.179863147605083
2.25,40,50,0,0.225,0.25,64.34048034868772,400.0,1.0,2.227820136852395,22.179863147605083
2.25,48,50,1,0.225,0.25,60.88738071767893,400.0,1.0,2.227820136852395,22.179863147605083
2.25,60,50,2,0.225,0.25,61.37094624951976,400.0,1.0,2.227820136852395,22.179863147605083
2.25,67,50,3,0.225,0.25,57.52630099319028,400.0,1.0,2.227820136852395,22.179863147605083
2.5,31,50,0,0.225,0.25,56.2926584575003,400.0,1.0,2.477820136852395,22.179863147605083
2.5,36,50,1,0.225,0.25,50.79205138062158,400.0,1.0,2.477820136852395,22.179863147605083
2.5,48,50,2,0.225,0.25,59.07481374089408,400.0,1.0,2.477820136852395,22.179863147605083
2.5,72,50,3,0.225,0.25,62.650107451228514,400.0,1.0,2.477820136852395,22.179863147605083
2.75,31,50,0,0.225,0.25,56.27416197143795,400.0,1.0,2.727820136852395,22.179863147605083
2.75,52,50,1,0.225,0.25,63.00558414676537,400.0,1.0,2.727820136852395,22.179863147605083
2.75,55,50,2,0.225,0.25,57.59117043528569,400.0,1.0,2.727820136852395,22.179863147605083
2.75,79,50,3,0.225,0.25,67.80436101697887,400.0,1.0,2.727820136852395,22.179863147605083
3.0,36,50,0,0.225,0.25,61.93569817252828,400.0,1.0,2.977820136852395,22.179863147605083
3.0,43,50,1,0.225,0.25,55.19489048064956,400.0,1.0,2.977820136852395,22.179863147605083
3.0,48,50,2,0.225,0.25,48.17182407706058,400.0,1.0,2.977820136852395,22.179863147605083
3.0,67,50,3,0.225,0.25,56.16660609723768,400.0,1.0,2.977820136852395,22.179863147605083
3.25,21,50,0,0.225,0.25,44.69375804273761,400.0,1.0,3.227820136852395,22.179863147605083
3.25,43,50,1,0.225,0.25,57.666450001653786,400.0,1.0,3.227820136852395,22.179863147605083
3.25,55,50,2,0.225,0.25,54.24124633284233,400.0,1.0,3.227820136852395,22.179863147605083
3.25,60,50,3,0.225,0.25,58.51472818668946,400.0,1.0,3.227820136852395,22.179863147605083
3.5,21,50,0,0.225,0.25,46.20065733989574,400.0,1.0,3.477820136852395,22.179863147605083
3.5,43,50,1,0.225,0.25,55.186347102164824,400.0,1.0,3.477820136852395,22.179863147605083
3.5,55,50,2,0.225,0.25,56.3148898323217,400.0,1.0,3.477820136852395,22.179863147605083
3.5,64,50,3,0.225,0.25,51.149320207951774,400.0,1.0,3.477820136852395,22.179863147605083
3.75,31,50,0,0.225,0.25,55.50169976607222,400.0,1.0,3.727820136852395,22.179863147605083
3.75,60,50,1,0.225,0.25,74.8182254760715,400.0,1.0,3.727820136852395,22.179863147605083
3.75,67,50,2,0.225,0.25,68.45697780975132,400.0,1.0,3.727820136852395,22.179863147605083
4.0,99,56,2,0.45,0.5,99.0,455.9958552316202,1.0,3.978758553274682,21.241446725317694
4.0,70,59,3,0.45,0.5,70.0,477.7126463324693,1.0,3.979227761485826,20.772238514174
4.0,36,60,3,0.45,0.5,36.0,485.0207422505641,1.0,3.979384164222874,20.6158357771261
4.0,51,63,2,0.45,0.5,51.0,511.9359181470231,1.0,3.9798533724340177,20.146627565982406
4.0,76,63,1,0.45,0.5,76.0,508.53090687387225,1.0,3.9798533724340177,20.146627565982406
4.0,84,63,1,0.45,0.5,84.0,511.4487626171151,1.0,3.9798533724340177,20.146627565982406
4.0,39,64,2,0.45,0.5,39.0,519.8172156650306,1.0,3.9800097751710655,19.990224828934508
4.0,104,64,1,0.45,0.5,104.0,513.2853843950447,1.0,3.9800097751710655,19.990224828934508
4.0,37,65,0,0.45,0.5,37.0,522.4663894043056,1.0,3.9801661779081132,19.83382209188661
4.0,57,68,0,0.45,0.5,57.0,550.6567517796674,1.0,3.980635386119257,19.364613880742915
4.0,68,70,1,0.45,0.5,68.0,563.4460703167457,1.0,3.980948191593353,19.05180840664712
4.0,80,70,0,0.45,0.5,80.0,561.1735601023386,1.0,3.980948191593353,19.05180840664712
4.0,86,70,2,0.45,0.5,86.0,564.3254974231805,1.0,3.980948191593353,19.05180840664712
4.0,93,70,0,0.45,0.5,93.0,567.5509042171107,1.0,3.980948191593353,19.05180840664712
4.0,78,72,3,0.45,0.5,78.0,583.9062623136937,1.0,3.981260997067449,18.73900293255132
4.0,97,72,1,0.45,0.5,97.0,579.4133282904495,1.0,3.981260997067449,18.73900293255132
4.0,30,74,1,0.45,0.5,30.0,599.2619850055427,1.0,3.9815738025415444,18.426197458455523
4.0,54,75,3,0.45,0.5,54.0,607.6894948584571,1.0,3.9817302052785926,18.269794721407624
4.0,66,75,0,0.45,0.5,66.0,600.9144345740137,1.0,3.9817302052785926,18.269794721407624
4.0,28,79,0,0.45,0.5,28.0,633.9820964186644,1.0,3.982355816226784,17.64418377321603
4.0,74,81,0,0.45,0.5,74.0,653.6336032382065,1.0,3.98266862170088,17.331378299120235
4.0,87,81,3,0.45,0.5,87.0,655.6121798533966,1.0,3.98266862170088,17.331378299120235
4.0,89,81,1,0.45,0.5,89.0,652.6448161334696,1.0,3.98266862170088,17.331378299120235
4.0,77,82,2,0.45,0.5,77.0,662.0548215961735,1.0,3.9828250244379277,17.174975562072337
4.0,105,82,2,0.45,0.5,105.0,661.7640845511145,1.0,3.9828250244379277,17.174975562072337
