run,same_symbol_mc,same_symbol_rc,sequential_self_sim_mc,section_seq_autocorr,section_seq_lz,section_seq_ir
0,0.7811304345139498,0.8551441101833477,0.7740189967960935,-0.3072414695119663,6.0,0.08170416594551039
1,0.7753399729393992,0.8813493090230909,0.7717412107538152,0.027292329849561342,6.0,0.0
2,0.7733544149952567,0.8550058261859255,0.7642537547091678,0.010630637522351655,6.0,0.0
3,0.7804241591122865,0.8736692299973033,0.7802754301629019,-0.002705438669025062,5.0,0.0
4,0.7654823796606691,0.8838770106088377,0.7810894321752755,-0.5001325067509107,5.0,0.2516291673878228
5,0.7769584607946839,0.8814850167784906,0.77992660041068,-0.0064685690038396495,5.0,0.0
6,0.7674014984877454,0.8564699357326879,0.7761627906976745,-0.6605416193391765,5.0,0.4591479170272448
7,0.7797444860379729,0.8625329952432033,0.7755925395647857,-0.006162032387335689,6.0,0.0
8,0.7766507559115055,0.8937945579669593,0.7849973269179363,0.014232710727906564,6.0,0.0
9,0.7685872570912059,0.8867657761499047,0.7713434683332018,0.0036284597078915974,6.0,0.0
10,0.7748694016326243,0.8455054631446584,0.7906976744186046,-0.7130641617829493,4.0,0.4591479170272448
11,0.7745528764949953,0.8762682010261175,0.7789270687237027,0.2718240767829886,6.0,0.04411041774840095
12,0.7722156021026119,0.8862033778967925,0.769112249210485,0.012696998922324296,6.0,0.0
13,0.7749195986207692,0.8530517255554864,0.7788770053475935,-0.34398683831067844,6.0,0.08170416594551039
14,0.7765145909481448,0.8920770138049673,0.7695437080034505,0.022006120532334562,6.0,0.0
15,0.7758642858168517,0.8628880814760981,0.7610160747257522,-0.31914751089143495,5.0,0.08170416594551039
16,0.773882537775491,0.8661057339606149,0.7558823529411764,-0.7240967629727886,5.0,0.4591479170272448
17,0.7671679377667621,0.9096907009649292,0.7683214655835254,-0.026916112899139297,6.0,0.0
18,0.7736630274331062,0.8707531644004426,0.7744495616424831,0.23122954286638625,6.0,0.04411041774840095
19,0.7842504280831523,0.8514733613653158,0.783099535427437,-0.3260112697601053,6.0,0.08170416594551039
20,0.7710988496934511,0.8528939331974986,0.7665429599640127,0.31629409576988343,6.0,0.08170416594551039
21,0.7749399228256056,0.8880645875818766,0.7763157894736843,-0.49965266962021376,5.0,0.2516291673878228
22,0.7779574653027734,0.8727137334167678,0.779126766985864,0.0025423449655344885,5.0,0.0
23,0.7768194313820387,0.8600182167011122,0.771751884283716,0.330968670521952,6.0,0.08170416594551039
24,0.7708312824861452,0.8413937543251435,0.7677742281133424,-0.3501086584957879,5.0,0.08170416594551039
25,0.7664294366222655,0.897880851137083,0.7657112061927478,0.7038617601503879,6.0,0.4591479170272448
26,0.7691764855356955,0.8571713663936368,0.7689288288960151,-0.3421235804319045,6.0,0.08170416594551039
27,0.7750367570070087,0.850831121756766,0.7871720116618076,-0.645513291884007,5.0,0.4591479170272448
28,0.7786420293694172,0.8524789382630982,0.7674836601307189,-0.31781563368924826,6.0,0.08170416594551039
29,0.7698070214186605,0.8573218865605561,0.7699049955657516,-0.3211817112816117,6.0,0.08170416594551039
30,0.7702485115169055,0.8736435988833513,0.7751479289940828,-0.7041551624281456,5.0,0.4591479170272448
31,0.7647475338963916,0.8836858764408333,0.7768115942028986,-0.7084387489885897,5.0,0.4591479170272448
32,0.7628332063458202,0.8959878105017753,0.7682723254591526,-0.024486907643240272,6.0,0.0
33,0.7801307769431671,0.8635443155799831,0.7935103244837758,-0.7079281001581482,4.0,0.4591479170272448
34,0.7690462416151724,0.8923228840806975,0.7682328921527146,0.6871064157261112,6.0,0.4591479170272448
35,0.7762467981187255,0.8563131679789039,0.7735294117647059,-0.6910513576343921,5.0,0.4591479170272448
36,0.7799048004040666,0.8852131093570648,0.7831698956385673,0.2809598889104927,6.0,0.04411041774840095
37,0.7760541236442232,0.8555006474201856,0.7741093492734943,0.020265335314838658,6.0,0.0
38,0.7830086969528176,0.8595817151611553,0.7799916566051107,0.01151752734235322,5.0,0.0
39,0.7708796060521697,0.8625048215428164,0.7813411078717201,-0.6815542209853837,5.0,0.4591479170272448
40,0.7786909830285434,0.8763504092811075,0.7776905002767996,-0.010861585722609937,5.0,0.0
41,0.7714659394000803,0.8572957780712804,0.7705882352941177,-0.7320416436955712,5.0,0.4591479170272448
42,0.7629883089880317,0.8631909508933912,0.7627977568554818,-0.5220343982454462,5.0,0.2516291673878228
43,0.7765918998443765,0.8602546270466069,0.7761627906976745,-0.7377180744330669,5.0,0.4591479170272448
44,0.7756677055856955,0.8754860406902106,0.7749371629120205,0.2672285727250319,6.0,0.04411041774840095
45,0.775554882306372,0.903788660343942,0.7737951733241244,0.7053506905035785,6.0,0.4591479170272448
46,0.7707740844351394,0.8803650870970089,0.774798778783046,0.001583450024602348,5.0,0.0
47,0.7756031740420636,0.8631934621799234,0.7807017543859649,-0.6979839155529923,5.0,0.4591479170272448
48,0.7802595747569085,0.8606675242536115,0.7711222771756288,-0.3247080794382594,6.0,0.08170416594551039
49,0.7680811012154966,0.8590603402814143,0.7813411078717201,-0.6882876949121577,4.0,0.4591479170272448
50,0.7796364771455845,0.8961133318518123,0.7774773654878073,0.0036900957566130765,6.0,0.0
51,0.7710892833087737,0.9050379378406578,0.7788579351610371,-0.013832369362273658,6.0,0.0
52,0.7728438632484461,0.8603505277780648,0.7711154302991038,-0.004698458407556769,5.0,0.0
53,0.7730927556337681,0.8508577630564467,0.762862481163198,-0.33371391916800136,6.0,0.08170416594551039
54,0.7641426070886281,0.8599255108917461,nan,-0.9996835396037258,4.0,1.0
55,0.7621708497706444,0.8577070836268804,0.7690058479532164,-0.7654325522720912,5.0,0.4591479170272448
56,0.7672410460594938,0.8692846349309522,0.7715354032563423,-0.3079449349805131,6.0,0.08170416594551039
57,0.7692714959202108,0.8629618139365698,0.7673431592820283,0.3275615431303963,6.0,0.08170416594551039
58,0.7717530463875789,0.8785007168649919,0.7714869170987878,0.015945600178165962,5.0,0.0
59,0.7775399381101042,0.8567809353275294,0.7865478826637484,-0.5366685359044451,5.0,0.2516291673878228
60,0.77883460103636,0.8977067678060292,0.7811279007352482,-0.029235861102430725,6.0,0.0
61,0.769174125003143,0.8917635711887656,0.772570783295983,0.2269078394001685,6.0,0.04411041774840095
62,0.7742675862444197,0.8881812660192808,0.7778383335063497,-0.49915432972125184,5.0,0.2516291673878228
63,0.7674899028056198,0.877676256156598,0.7696728790534008,-0.023344025884000894,6.0,0.0
64,0.771847040267324,0.8583584522474601,0.7761312515898308,-0.016302593843527793,5.0,0.0
65,0.7859274030994235,0.8849187148097414,0.7947622679888127,-0.4997270426146563,5.0,0.2516291673878228
66,0.7785927996781256,0.8538859752253475,0.7900874635568513,-0.7130008490779862,5.0,0.4591479170272448
67,0.774933963062934,0.8530172705416877,0.7776632209065754,0.009769612270872391,5.0,0.0
68,0.7801664883538509,0.8678179941211172,0.8011695906432749,-0.6939093982442093,5.0,0.4591479170272448
69,0.7794983731026424,0.8985074643913707,0.7740810168762464,0.3394503117712941,7.0,0.08170416594551039
70,0.7740294313349888,0.8493221980138974,0.7906976744186046,-0.6993021470656853,5.0,0.4591479170272448
71,0.7705952938968532,0.8970822563924509,0.7670398876237875,-0.03681246006770887,6.0,0.0
72,0.7799167555207798,0.8784336746534964,0.7772009236595071,0.0023241950332586812,6.0,0.0
73,0.7780763860897846,0.8984788294102155,0.7748792270531402,0.036411465829651025,6.0,0.0
74,0.7752592096998782,0.889519493221504,0.7776192181133105,0.01709014458566858,6.0,0.0
75,0.7758623125989794,0.8881339525343658,0.7794148879685675,0.01026051190528116,6.0,0.0
76,0.7753224797239916,0.8965500753265538,0.7802597482758821,0.021712651330330186,6.0,0.0
77,0.7717631093732354,0.886569926590467,0.7623188405797101,-0.697966513031824,5.0,0.4591479170272448
78,0.772184194310856,0.8542392483460137,0.7551622418879056,-0.6951893353746501,5.0,0.4591479170272448
79,0.7750992556677788,0.8754706979571157,0.7755102040816326,-0.7212366429463988,5.0,0.4591479170272448
