onset_time,pitch,velocity,voice_id,duration,base_ioi,raw_pitch,raw_velocity,tempo_ratio,trigger_time,compensation_ms
0.0,50,68,0,0.05625,0.0625,63.017185047887956,550.0,1.0,-0.019364613880742915,19.364613880742915
0.0,64,68,1,0.05625,0.0625,64.44226104114409,550.0,1.0,-0.019364613880742915,19.364613880742915
0.0625,40,68,0,0.05625,0.0625,52.37775555387863,550.0,1.0,0.04313538611925709,19.364613880742915
0.0625,64,68,1,0.05625,0.0625,64.34322991174308,550.0,1.0,0.04313538611925709,19.364613880742915
0.125,57,68,0,0.05625,0.0625,69.16932459792702,550.0,1.0,0.10563538611925709,19.364613880742915
0.125,60,68,1,0.05625,0.0625,61.53315836802494,550.0,1.0,0.10563538611925709,19.364613880742915
0.1875,45,68,0,0.05625,0.0625,57.99902786501304,550.0,1.0,0.16813538611925707,19.364613880742915
0.1875,60,68,1,0.05625,0.0625,60.96785042748448,550.0,1.0,0.16813538611925707,19.364613880742915
0.25,43,68,0,0.05625,0.0625,55.388232106463924,550.0,1.0,0.23063538611925707,19.364613880742915
0.25,64,68,1,0.05625,0.0625,65.22321429350426,550.0,1.0,0.23063538611925707,19.364613880742915
0.3125,52,68,0,0.05625,0.0625,65.67784281796952,550.0,1.0,0.2931353861192571,19.364613880742915
0.3125,72,68,1,0.05625,0.0625,72.11862059261568,550.0,1.0,0.2931353861192571,19.364613880742915
0.375,52,68,0,0.05625,0.0625,65.50136584779146,550.0,1.0,0.3556353861192571,19.364613880742915
0.375,64,68,1,0.05625,0.0625,64.0936496844397,550.0,1.0,0.3556353861192571,19.364613880742915
0.4375,43,68,0,0.05625,0.0625,55.92624957172897,550.0,1.0,0.4181353861192571,19.364613880742915
0.4375,52,68,1,0.05625,0.0625,53.84301547580677,550.0,1.0,0.4181353861192571,19.364613880742915
0.5,48,68,0,0.05625,0.0625,60.100456781532344,550.0,1.0,0.4806353861192571,19.364613880742915
0.5,45,68,1,0.05625,0.0625,46.6542998904313,550.0,1.0,0.4806353861192571,19.364613880742915
0.5625,33,68,0,0.05625,0.0625,45.646816293213405,550.0,1.0,0.543135386119257,19.364613880742915
0.5625,72,68,1,0.05625,0.0625,72.35357931177968,550.0,1.0,0.543135386119257,19.364613880742915
