onset_time,pitch,velocity_xp,velocity,duration,voice_id,trigger_time
0.5700000000000001,71,534.7277765216612,67,0.0315,1,0.5504789833822092
0.6000000000000001,76,447.6244325461922,56,0.096,101,0.5787585532746824
0.6000000000000001,88,507.6244325461922,63,0.096,1,0.5798533724340177
0.6,62,560.7102221632657,70,0.042,100,0.5809481915933529
0.6,50,620.7102221632657,78,0.042,0,0.582199413489736
0.64,66,543.5067384568715,68,0.042,100,0.6206353861192571
0.64,54,603.5067384568715,75,0.042,0,0.6217302052785924
0.68,67,552.1477995696237,69,0.084,100,0.6607917888563051
0.68,55,612.1477995696237,77,0.084,0,0.6620430107526882
0.76,66,478.1947823214131,60,0.042,100,0.7393841642228739
0.76,54,538.1947823214131,67,0.042,0,0.7404789833822092
0.78,86,481.1241887983208,60,0.0315,101,0.7593841642228739
0.78,74,541.1241887983208,68,0.0315,1,0.7606353861192571
0.8,72,459.9466126840059,57,0.128,100,0.7789149560117302
0.8,60,519.9466126840059,65,0.128,0,0.7801661779081135
0.81,88,487.05474706742075,61,0.0315,101,0.7895405669599218
0.81,76,547.0547470674207,68,0.0315,1,0.7906353861192571
0.8400000000000001,86,550.251656736134,69,0.0315,101,0.8207917888563051
0.8400000000000001,74,610.251656736134,76,0.0315,1,0.8218866080156404
0.8700000000000001,90,535.9637810515071,67,0.0315,101,0.8504789833822093
0.8700000000000001,78,595.9637810515071,74,0.0315,1,0.8515738025415446
0.9000000000000001,91,559.9295012513638,70,0.063,101,0.880948191593353
0.9000000000000001,79,619.9295012513638,77,0.063,1,0.8820430107526883
0.9600000000000002,90,496.0147547144005,62,0.0315,101,0.9396969696969699
0.9600000000000002,78,556.0147547144005,70,0.0315,1,0.9409481915933531
0.9900000000000002,96,476.2361640108711,60,0.096,101,0.9693841642228741
0.9900000000000002,84,536.2361640108711,67,0.096,1,0.9704789833822094
1.04,62,490.6974279198547,61,0.042,100,1.0195405669599218
1.04,50,550.6974279198547,69,0.042,0,1.020791788856305
1.08,60,497.5901143768332,62,0.042,100,1.0596969696969698
1.08,48,557.5901143768332,70,0.042,0,1.060948191593353
1.12,62,572.6792193782769,72,0.042,100,1.1012609970674487
1.12,50,632.6792193782769,79,0.042,0,1.1023558162267841
