density,random_single_voice_coherence,random_svc_std,random_tonal_stability,random_ts_std
10.0,0.5369180142301805,0.049547746031589034,0.023189977349204693,0.008984957738469319
15.0,0.5577958309711601,0.05741176149044757,0.020450879814594147,0.008658125353921875
20.0,0.5500499867612085,0.022904368822520383,0.02673626706105603,0.007077377270614949
25.0,0.5594880253121616,0.06262572840425573,0.026604029980127786,0.015038385503845779
28.0,0.5792234017214671,0.019524232304442963,0.022913435654451142,0.0077054190274996786
30.0,0.5889310474544133,0.019118073321342115,0.02953300756871539,0.01734888976307665
40.0,0.5715546247225812,0.03694132962238269,0.01696528916312053,0.007131808697139779
50.0,0.5436798674971087,0.027886857488860453,0.01963474293127443,0.0017911318128689395
60.0,0.5700346493754574,0.014726604667867857,0.01726117405570819,0.002799012109015714
80.0,0.5600195176686021,0.05962331171403862,0.026163908780929297,0.0031877760791384603
100.0,0.5015647996061496,0.03284856267992268,0.02002177343775687,0.006014469826492094
120.0,0.5236476291156426,0.03127701350836603,0.033291437782003386,0.004083221544581041
150.0,0.5218425570802127,0.051375021165246684,0.032922008845229854,0.012156899589077064
200.0,0.5366244057741912,0.03049968460738333,0.019005101854341972,0.004580542383409946
