density,random_mc_mean,random_mc_std
10,0.5465118789480393,0.044462083953779194
15,0.5846180376360509,0.036953746329481556
20,0.5541785731302119,0.039955414147503907
25,0.518311074266492,0.039513011282190515
28,0.552933024040735,0.04238443998325315
30,0.5552533283158082,0.025074846767421114
40,0.5315921920781527,0.02721214738501434
50,0.5563897428510887,0.052984754940426045
60,0.5506384436885459,0.04523906523348276
80,0.5485389966767698,0.049913852277736516
100,0.551804131242563,0.042144578285200456
120,0.5442328756970758,0.03351739512029611
150,0.5463848360859358,0.0357611418745092
200,0.5728256419135602,0.04918756032241837
