metric,mean_gap,gap_at_10_notes_per_sec,pre_saturation_densities
MC,-0.3306846027266065,-0.3424179058220248,"[10, 15, 20, 25, 28]"
TS,0.07396672226930938,0.06819699975756384,"[10, 15, 20, 25, 28]"
