density,amanous_mc,amanous_mc_std,amanous_ts,amanous_ts_std,random_mc,random_mc_std,random_ts,random_ts_std
10.0,0.19329678477351928,0.02415905539483901,0.09200306202135654,0.010568078041065125,0.5335668693122599,0.0655697872480852,0.02744007972332227,0.011448233985896715
15.0,0.21171282523243956,0.040293494809020954,0.09614642511612498,0.017842712030099222,0.5273940315355453,0.030085256836180407,0.030484754673227685,0.015372917672648177
20.0,0.18108681134723253,0.022282787523340956,0.09623669799197092,0.020283111882263758,0.5504938146044241,0.04078475378046126,0.02607734325644631,0.014382216833790224
25.0,0.1994605253296201,0.027319117150389823,0.08957773769046229,0.03219726588554347,0.5620937302690361,0.022109441044999793,0.027282861019608737,0.012500709074111969
28.0,0.18701178789033365,0.028513775114565418,0.0993120927921703,0.01819847735553569,0.5288163546767815,0.04264723183314679,0.021616753196720406,0.009084736896556192
30.0,0.17294149074138848,0.03200667362216013,0.08115826413182782,0.02113192770101001,0.52844755441977,0.04301840261300769,0.021960144493342576,0.006814536490824349
40.0,0.20773339983433886,0.040715302221884415,0.10638136443767587,0.025533195110328432,0.5314031273302051,0.04925469523793345,0.024800971030712382,0.011665898207950833
50.0,0.17065054452630293,0.032907003417315006,0.09843736752851875,0.028474217627193387,0.5397200973990288,0.040996558214146446,0.02067200332195479,0.007569923732317582
60.0,0.1773053370828286,0.04012696543385436,0.09123679043055394,0.036654509074018286,0.5469764762132899,0.022553817846776382,0.024388239956635804,0.007132487277417895
80.0,0.17220854089273044,0.024670135162974168,0.10379636371423076,0.023670933891335764,0.5752961639554683,0.03839124603142812,0.026792805497521457,0.011117228320375596
100.0,0.17971822253544703,0.017135123759766505,0.12729901254326462,0.028490950863123275,0.5425823295428962,0.05531035179410003,0.020649602617069204,0.007398681528127365
120.0,0.22108225215519553,0.03575446065004336,0.10978838346335516,0.015017735326820167,0.5535797410131008,0.06230406949737797,0.025383313172189975,0.01027684060159652
150.0,0.20912863198192055,0.041728641784791014,0.1219358863881609,0.02454817418433803,0.5393163694536376,0.04602621411099763,0.027098056175567625,0.009636434566594484
200.0,0.20410400287130812,0.028927526090307413,0.11510824901997642,0.03140608695698418,0.5852390401037821,0.05218568614753593,0.01938874251256263,0.010492155842154238
