density,random_mc_mean,random_mc_std,random_ts_mean,random_ts_std
10,0.562924132991182,0.04795629106589525,0.02524846134676,0.012042302125042112
15,0.5455753250141273,0.045811947506693214,0.022147455876793933,0.009038278604262867
20,0.5616332480321848,0.043393714931127564,0.022778489615340958,0.012851071115045812
25,0.5553208421662799,0.046269481547470605,0.018412265000740426,0.005089470549643117
28,0.5435106278026779,0.04480981565695639,0.02441657777706475,0.00845207526040265
30,0.5371410774838014,0.048014993532169814,0.025044796330237297,0.010723609234225993
40,0.5466487340631916,0.042180685095221014,0.027869062665872392,0.010028612448679619
50,0.5463352846923191,0.03730877472518676,0.01646729920761082,0.005982704288825652
60,0.5622900017772043,0.055394322070254735,0.017858560186088012,0.007367018124681947
80,0.5420943157499819,0.04934263854362299,0.02403341042242192,0.007557583693438347
100,0.5605942459828518,0.03229602561795787,0.022900525954792007,0.0065636496962171885
120,0.5389030228680586,0.05163278720288457,0.02078775799664149,0.010142322946749794
150,0.5287985353365392,0.039678540127881655,0.01767573622078087,0.007764718457496225
200,0.5298608684542814,0.04325523055619322,0.020821429145066926,0.00817807789411827
