density,svc_amanous,svc_amanous_sd,pcc_amanous,svc_null
10,0.18452083378055711,0.009460419851885726,0.09490819634210354,0.543164885438711
15,0.20133279127633524,0.045368796846995046,0.10240348495025804,0.5226824610142222
20,0.19269266652039674,0.020988956612958593,0.09998364676655047,0.5244461348686325
25,0.18978935510522407,0.0342797165208041,0.0939413455449635,0.5315869530471395
28,0.19152427737142666,0.036529447634417,0.10254636546241233,0.5709222482321717
30,0.16438004780021295,0.03994409694085502,0.09103472216156538,0.5522809892459601
40,0.200053655184869,0.03689282410624675,0.09890076436289075,0.5575027447151768
50,0.17583881046855093,0.0442295487788567,0.11027555874657916,0.5211972640748614
60,0.1583190034717412,0.032955189655208536,0.07509560782008537,0.544010245030243
80,0.18482372208045575,0.01787726788415217,0.09648181125170086,0.5103684718310522
100,0.17725052385170859,0.019366403449686268,0.12804663631384688,0.5182496932028207
120,0.22623316640463545,0.024382042912441882,0.1094405880240444,0.5537315003674727
150,0.20435251861917272,0.047637250366754744,0.10642511974942655,0.5453599704644732
200,0.19339278387398934,0.03407826308427153,0.10374336163127795,0.5497327715549254
