onset_time,pitch,velocity,voice_id,intended_onset,compensation_ms
0.03248289613569616,60,607,0,0.05061583846218687,18.132942326490713
0.050332644510343,58,553,0,0.06952130531190703,19.188660801564026
0.09204084650117016,56,435,0,0.11353644767419069,21.495601173020532
0.11439520126945563,66,688,1,0.13094456588333636,16.54936461388074
0.12232198307175222,58,429,0,0.14393488629755868,21.61290322580645
0.16402461435698767,85,661,1,0.18110183820840509,17.077223851417415
0.16708369607095278,72,674,1,0.18390676547466733,16.823069403714555
0.17553157500209707,68,431,1,0.19710537754364155,21.573802541544467
0.18044804815849533,66,498,1,0.20071197777726368,20.263929618768344
0.23232463845565035,56,451,0,0.2535074341545751,21.182795698924735
0.23498305629725685,52,552,0,0.2541912674409519,19.208211143695024
0.25270968065555827,68,601,1,0.2709599250348349,18.250244379276637
0.28303769000633006,61,411,0,0.3050024993904943,21.964809384164198
0.31646804237245657,67,570,1,0.3353243473577938,18.85630498533726
0.3460734135738129,72,541,1,0.3654966784809488,19.423264907135888
0.34860029632403666,64,436,1,0.3700763471549262,21.476050830889562
0.3498916574494785,76,668,1,0.366832028905979,16.940371456500486
0.37141074347452796,74,424,1,0.39312139841098936,21.710654936461367
0.39884978492666867,66,405,1,0.42093189636361883,22.08211143695013
0.4316766036703856,54,481,0,0.45227288910538066,20.59628543499508
0.4347575710521189,71,643,1,0.45218670106189407,17.42913000977518
0.4939957236435885,62,471,0,0.5147875124998935,20.791788856305004
0.5273915592858069,74,500,1,0.5476163882203133,20.224828934506377
0.5619165017043449,68,690,1,0.5784267656339637,16.51026392961876
0.5637197971463153,61,659,0,0.5808361216819946,17.116324535679382
0.5929790120383737,76,624,1,0.6107795985486375,17.800586510263884
0.6471229864732491,72,622,1,0.664962673667775,17.839687194525936
0.6529641873740109,72,624,1,0.6707647738842748,17.800586510263884
0.6869289207296162,58,575,0,0.7056874740042984,18.7585532746823
0.7059194087054739,62,424,0,0.7276300636419353,21.710654936461424
0.7190311410001274,64,566,0,0.7379656473539886,18.93450635386114
0.7291134749208754,60,696,0,0.7455064367977082,16.39296187683283
0.7371963309400117,64,438,1,0.7586332810866392,21.43695014662751
0.7514186243077319,74,608,1,0.7695320162920916,18.113391984359737
0.7895726185095194,67,466,1,0.8104621590764793,20.88954056695991
0.8080746557908542,64,516,1,0.8279866792512647,19.912023460410524
0.8229937698498766,66,610,0,0.8410680611499743,18.074291300097798
0.8319646286329554,64,695,0,0.8483771408519192,16.412512218963798
0.8347967785381492,72,578,1,0.8534966807864386,18.69990224828939
0.8500728777064768,77,522,1,0.8698675991141014,19.794721407624593
0.8501706228097209,75,561,1,0.8692028808742369,19.0322580645161
0.8638790772151872,64,458,0,0.884925020519195,21.04594330400778
0.8856054229292248,66,650,0,0.902897700544083,17.29227761485822
0.8934314238309212,70,438,1,0.9148683739775487,21.43695014662751
0.9736416890792776,66,472,1,0.9944139275934516,20.772238514173978
0.9964260835967825,64,599,0,1.014715428660321,18.289345063538576
0.9965832794787197,69,448,1,1.0178247262040374,21.2414467253177
1.0143374175870876,57,670,0,1.031238688359326,16.90127077223849
1.0509478748835865,79,472,1,1.0717201133977605,20.772238514173978
1.0890837429636069,76,653,1,1.1063173695520723,17.233626588465313
1.0926688602071635,67,547,0,1.1119748230615134,19.3059628543499
1.100535649246506,75,519,1,1.1203890216805235,19.8533724340175
1.117912187880943,73,631,1,1.1355759219962902,17.663734115347097
1.129766096854401,58,583,1,1.1483682473920354,18.602150537634316
1.1568753709968551,59,594,0,1.1752624677710488,18.38709677419365
1.15857632254755,63,566,1,1.1775108289014113,18.934506353861252
1.1779268191093122,61,613,0,1.195942459383017,18.015640273704776
1.1806613963938808,68,667,1,1.1976213181925122,16.959921798631513
1.2035201783598117,57,672,0,1.2203823484477883,16.862170087976438
1.2218480901829156,72,454,1,1.2429722348554473,21.124144672531656
1.2535669752259826,78,444,1,1.2748866233198242,21.31964809384158
1.260292211669611,66,503,1,1.2804583895777244,20.166177908113468
1.3181288240958502,72,408,1,1.3401522845064073,22.023460410557163
1.3416130940886166,76,404,1,1.3637147558676976,22.10166177908104
1.3736689182272255,74,560,1,1.3927207266338726,19.05180840664707
1.3762684631133832,75,650,1,1.3935607407282413,17.29227761485822
1.3830004651707144,65,622,0,1.4008401523652403,17.839687194525823
1.3874069584412048,70,452,1,1.4085702037979986,21.163245356793823
1.4296232077157502,58,546,0,1.448948720912231,19.32551319648087
1.4500603224868602,71,477,1,1.4707348092903794,20.67448680351913
1.4668716568077669,74,524,1,1.4866272775311296,19.755620723362654
1.4989286604751169,66,623,1,1.5167487973275118,17.820136852394853
1.5149118806231676,72,583,1,1.533514031160802,18.602150537634316
1.5357553429825894,73,683,1,1.552402459307125,16.647116324535773
1.5436568392230794,68,475,0,1.5643704267108605,20.71358748778107
1.6235279695347584,74,556,1,1.6426579793099294,19.130009775171175
1.6449744500241372,60,621,1,1.662833687560794,17.859237536656792
1.6687934459709124,69,483,1,1.6893506307216455,20.557184750733086
1.6760125108491946,58,567,0,1.6949274668609249,18.914956011730283
1.6906060791792505,73,600,1,1.7088758739006582,18.269794721407607
1.7134360989046487,50,584,0,1.7320186991001518,18.582600195503346
1.7173038903864533,59,694,1,1.7337359529475482,16.43206256109488
1.7368897168307815,79,674,1,1.753712786234496,16.8230694037145
1.7500559669121407,64,509,1,1.7701048427674682,20.048875855327424
1.7961433459223701,72,520,1,1.8159771680142567,19.833822091886532
1.8242424516282894,68,462,1,1.8452101935637732,20.9677419354839
1.8451521564465865,68,485,1,1.8656702405130576,20.518084066471147
1.9950513040942586,72,449,1,2.0162732004774453,21.22189638318673
2.045923372542493,80,599,1,2.064212717606032,18.289345063538576
2.077990437309719,71,457,1,2.0990559309558576,21.065493646138748
2.1659113126682374,65,684,1,2.1825388786506417,16.627565982404576
2.184735013477902,74,505,1,2.2048620907017535,20.127077223851302
2.190110058469727,76,410,1,2.2120944181960223,21.984359726295224
2.219584973659824,60,697,0,2.235958385194526,16.373411534701972
2.2622157505416065,66,658,0,2.279351625419417,17.135874877810238
2.2745569630791027,69,616,1,2.2925139523264146,17.956989247311867
2.285534871820793,80,452,1,2.3066981171775867,21.163245356793595
