onset_time,pitch,velocity,voice_id,duration,trigger_time,compensation_ms
0.0,50,54,0,1.0202485178361518,-0.02155425219941349,21.55425219941349
0.0,62,56,1,0.4403094056456669,-0.021241446725317695,21.241446725317694
0.48923267293962985,43,52,1,0.321731758958003,0.4673656152661206,21.867057673509287
0.8467124051151887,74,61,1,0.4978472120722054,0.8262529720751105,20.459433040078203
1.1336094642623908,52,67,0,0.6928358494517078,1.1140884476446,19.521016617790814
1.3998759740843059,64,68,1,0.41529300639553957,1.380511360203563,19.364613880742915
1.8613126478571276,64,44,1,0.48215613445389754,1.838194368287235,23.118279569892472
1.9034270747642883,28,60,0,0.24840684030925345,1.8828112389871623,20.6158357771261
2.1794346751079035,52,72,0,0.7383692963833608,2.1606956721753523,18.73900293255132
2.397041686139236,47,58,1,0.6916942788343283,2.376113044888014,20.928641251221897
2.999845004422749,40,68,0,0.44988569683460944,2.980480390542006,19.364613880742915
3.165590884844045,59,63,1,0.30169595264420557,3.1454442572780628,20.146627565982406
3.499718000905648,38,53,0,0.8751267588361374,3.478007345969187,21.71065493646139
3.5008086100042735,55,50,1,0.193573338370882,3.4786287468566686,22.179863147605083
3.7158900970830313,38,75,1,0.5369869941996886,3.697620302361624,18.269794721407624
4.312542312860463,50,47,1,0.46251698955268195,4.289893241501715,22.649071358748778
4.472081066279134,35,58,0,0.8898619238710325,4.451152425027913,20.928641251221897
4.82645007903011,69,43,1,0.6009245531511911,4.803175396723169,23.27468230694037
5.460816537246949,28,41,0,0.973570126507542,5.437229049465913,23.587487781036167
5.494144026975878,64,61,1,0.41899701864250094,5.4736845939358,20.459433040078203
5.95969626991199,57,66,1,0.38432097599821424,5.940018850557151,19.67741935483871
6.386719576576672,71,67,1,0.3721903591015202,6.367198559958881,19.521016617790814
6.542561122255329,33,52,0,0.8983523370173978,6.52069406458182,21.867057673509287
6.800264420022805,59,62,1,0.4911077229277367,6.779961389719775,20.303030303030305
7.34593966772029,79,46,1,0.4249918140972138,7.323134193624494,22.805474095796676
7.540730385607993,38,62,0,0.44375309405578583,7.520427355304962,20.303030303030305
7.8181527944949725,67,51,1,0.519025854857254,7.796129334084415,22.023460410557185
8.03378937900331,50,41,0,0.8440630499992788,8.010201891222273,23.587487781036167
8.394848188780811,43,47,1,0.3327241007615172,8.372199117422062,22.649071358748778
8.764541634071385,55,57,1,0.41452948543243756,8.743456590083115,21.085043988269796
8.97163721233584,47,54,0,0.6428017261920254,8.950082960136427,21.55425219941349
9.225129951218538,59,40,1,0.5627930014138759,9.201386060700454,23.743890518084065
9.685861352549201,45,54,0,0.926025703149306,9.664307100349788,21.55425219941349
9.850455508345066,47,39,1,0.6153800447547243,9.826555215089934,23.900293255131963
10.534211113628093,52,50,1,0.5281540085012614,10.512031250480488,22.179863147605083
10.714778800492875,52,56,0,0.7522549042547553,10.693537353767557,21.241446725317694
11.121048900851717,64,56,1,0.41945073934123994,11.099807454126399,21.241446725317694
11.550617582998159,38,56,0,0.8262909794957712,11.529376136272841,21.241446725317694
11.587105277897539,57,43,1,0.4592600620304363,11.563830595590598,23.27468230694037
12.0,53,71,0,0.045,11.9811045943304,18.89540566959922
12.0,65,78,1,0.03375,11.982199413489736,17.80058651026393
12.0375,62,68,1,0.03375,12.018135386119257,19.364613880742915
12.05,48,76,0,0.045,12.031886608015641,18.113391984359726
12.075,58,64,1,0.03375,12.055009775171065,19.990224828934508
12.100000000000001,68,83,0,0.045,12.082981427174976,17.01857282502444
12.112499999999999,48,56,1,0.03375,12.091258553274681,21.241446725317694
12.150000000000002,53,65,0,0.045,12.130166177908116,19.83382209188661
12.149999999999999,60,96,1,0.03375,12.135014662756596,14.985337243401759
12.187499999999998,72,75,1,0.03375,12.169230205278591,18.269794721407624
12.200000000000003,44,60,0,0.045,12.179384164222876,20.6158357771261
12.224999999999998,53,67,1,0.03375,12.205478983382207,19.521016617790814
12.250000000000004,67,83,0,0.045,12.232981427174979,17.01857282502444
12.262499999999998,63,69,1,0.03375,12.243291788856302,19.208211143695017
12.299999999999997,63,67,1,0.03375,12.280478983382206,19.521016617790814
12.300000000000004,50,94,0,0.045,12.284701857282506,15.298142717497555
12.337499999999997,67,85,1,0.03375,12.320794232649067,16.705767350928642
12.350000000000005,36,61,0,0.045,12.329540566959928,20.459433040078203
12.374999999999996,60,104,1,0.03375,12.361265884652978,13.734115347018573
12.400000000000006,51,35,0,0.045,12.375474095796681,24.52590420332356
12.412499999999996,72,84,1,0.03375,12.395637829912019,16.86217008797654
12.449999999999996,70,59,1,0.03375,12.429227761485821,20.772238514174
12.450000000000006,65,97,0,0.045,12.435171065493652,14.82893450635386
12.487499999999995,68,72,1,0.03375,12.468760997067443,18.73900293255132
12.500000000000007,48,75,0,0.045,12.4817302052786,18.269794721407624
12.524999999999995,62,82,1,0.03375,12.507825024437922,17.174975562072337
12.550000000000008,51,94,0,0.045,12.53470185728251,15.298142717497555
12.562499999999995,63,98,1,0.03375,12.547827468230688,14.672531769305962
12.600000000000009,60,75,0,0.045,12.581730205278602,18.269794721407624
12.599999999999994,77,97,1,0.03375,12.58517106549364,14.82893450635386
12.637499999999994,60,94,1,0.03375,12.622201857282496,15.298142717497555
12.65000000000001,72,60,0,0.045,12.629384164222882,20.6158357771261
12.674999999999994,65,87,1,0.03375,12.658607038123161,16.392961876832846
12.70000000000001,48,82,0,0.045,12.682825024437937,17.174975562072337
12.712499999999993,62,101,1,0.03375,12.698296676441831,14.203323558162268
12.749999999999993,72,67,1,0.03375,12.730478983382202,19.521016617790814
12.75000000000001,55,85,0,0.045,12.733294232649081,16.705767350928642
12.787499999999993,75,68,1,0.03375,12.76813538611925,19.364613880742915
12.800000000000011,51,91,0,0.045,12.78423264907137,15.76735092864125
12.824999999999992,60,87,1,0.03375,12.80860703812316,16.392961876832846
12.850000000000012,60,89,0,0.045,12.833919843597275,16.080156402737046
12.862499999999992,56,65,1,0.03375,12.842666177908105,19.83382209188661
12.899999999999991,65,74,1,0.03375,12.881573802541537,18.426197458455523
12.900000000000013,55,91,0,0.045,12.884232649071372,15.76735092864125
12.937499999999991,79,74,1,0.03375,12.919073802541536,18.426197458455523
12.950000000000014,48,99,0,0.045,12.935483870967756,14.516129032258064
12.97499999999999,74,60,1,0.03375,12.954384164222864,20.6158357771261
13.000000000000014,56,84,0,0.045,12.983137829912037,16.86217008797654
13.01249999999999,62,93,1,0.03375,12.997045454545445,15.454545454545453
13.050000000000015,41,53,0,0.045,13.028289345063554,21.71065493646139
13.04999999999999,53,82,1,0.03375,13.032825024437917,17.174975562072337
13.08749999999999,48,55,1,0.03375,13.066102150537624,21.397849462365592
13.100000000000016,41,96,0,0.045,13.085014662756613,14.985337243401759
13.12499999999999,53,78,1,0.03375,13.107199413489726,17.80058651026393
13.150000000000016,50,61,0,0.045,13.129540566959939,20.459433040078203
13.162499999999989,51,68,1,0.03375,13.143135386119246,19.364613880742915
13.200000000000017,53,37,0,0.045,13.17578690127079,24.21309872922776
13.199999999999989,75,89,1,0.03375,13.183919843597252,16.080156402737046
13.237499999999988,67,72,1,0.03375,13.218760997067436,18.73900293255132
13.250000000000018,74,99,0,0.045,13.23548387096776,14.516129032258064
13.274999999999988,63,89,1,0.03375,13.258919843597251,16.080156402737046
13.300000000000018,51,71,0,0.045,13.281104594330419,18.89540566959922
13.312499999999988,56,106,1,0.03375,13.299078690127065,13.421309872922777
13.349999999999987,68,68,1,0.03375,13.330635386119244,19.364613880742915
13.35000000000002,56,81,0,0.045,13.332668621700899,17.331378299120235
13.387499999999987,56,88,1,0.03375,13.371263440860202,16.236559139784944
13.40000000000002,55,73,0,0.045,13.381417399804516,18.58260019550342
13.424999999999986,65,68,1,0.03375,13.405635386119243,19.364613880742915
13.45000000000002,58,78,0,0.045,13.432199413489757,17.80058651026393
13.462499999999986,51,99,1,0.03375,13.447983870967729,14.516129032258064
13.500000000000021,48,66,0,0.045,13.480322580645183,19.67741935483871
13.499999999999986,75,80,1,0.03375,13.482512218963818,17.487781036168133
13.537499999999985,55,83,1,0.03375,13.52048142717496,17.01857282502444
13.550000000000022,60,76,0,0.045,13.531886608015663,18.113391984359726
13.574999999999985,70,68,1,0.03375,13.555635386119242,19.364613880742915
13.600000000000023,51,63,0,0.045,13.579853372434041,20.146627565982406
13.612499999999985,68,81,1,0.03375,13.595168621700864,17.331378299120235
13.650000000000023,48,72,0,0.045,13.631260997067471,18.73900293255132
13.649999999999984,60,86,1,0.03375,13.633450635386104,16.549364613880744
13.687499999999984,51,64,1,0.03375,13.66750977517105,19.990224828934508
13.700000000000024,51,80,0,0.045,13.682512218963856,17.487781036168133
13.724999999999984,55,87,1,0.03375,13.708607038123152,16.392961876832846
13.750000000000025,53,73,0,0.045,13.73141739980452,18.58260019550342
13.762499999999983,56,62,1,0.03375,13.742196969696954,20.303030303030305
13.799999999999983,63,61,1,0.03375,13.779540566959906,20.459433040078203
13.800000000000026,50,72,0,0.045,13.781260997067474,18.73900293255132
13.837499999999983,60,99,1,0.03375,13.822983870967725,14.516129032258064
13.850000000000026,60,73,0,0.045,13.831417399804522,18.58260019550342
13.874999999999982,56,79,1,0.03375,13.857355816226766,17.64418377321603
13.900000000000027,67,91,0,0.045,13.884232649071386,15.76735092864125
13.912499999999982,62,101,1,0.03375,13.89829667644182,14.203323558162268
13.950000000000028,44,59,0,0.045,13.929227761485853,20.772238514174
13.949999999999982,77,91,1,0.03375,13.93423264907134,15.76735092864125
13.987499999999981,56,68,1,0.03375,13.968135386119238,19.364613880742915
14.000000000000028,70,59,0,0.045,13.979227761485854,20.772238514174
14.02499999999998,60,49,1,0.03375,14.002663734115329,22.33626588465298
14.05000000000003,34,91,0,0.045,14.034232649071388,15.76735092864125
14.06249999999998,60,77,1,0.03375,14.044543010752669,17.956989247311828
14.10000000000003,68,70,0,0.045,14.080948191593382,19.05180840664712
14.09999999999998,60,82,1,0.03375,14.082825024437907,17.174975562072337
14.13749999999998,60,54,1,0.03375,14.115945747800566,21.55425219941349
14.15000000000003,55,68,0,0.045,14.130635386119287,19.364613880742915
14.17499999999998,60,74,1,0.03375,14.156573802541525,18.426197458455523
14.200000000000031,60,91,0,0.045,14.18423264907139,15.76735092864125
14.212499999999979,56,58,1,0.03375,14.191571358748757,20.928641251221897
14.250000000000032,26,82,0,0.045,14.23282502443796,17.174975562072337
14.249999999999979,80,97,1,0.03375,14.235171065493624,14.82893450635386
14.287499999999978,65,110,1,0.03375,14.274704301075246,12.795698924731184
14.300000000000033,44,91,0,0.045,14.284232649071392,15.76735092864125
14.324999999999978,72,69,1,0.03375,14.305791788856283,19.208211143695017
14.350000000000033,43,79,0,0.045,14.332355816226817,17.64418377321603
14.362499999999978,63,76,1,0.03375,14.344386608015618,18.113391984359726
14.400000000000034,51,64,0,0.045,14.3800097751711,19.990224828934508
14.399999999999977,63,103,1,0.03375,14.386109481915911,13.890518084066471
14.437499999999977,62,75,1,0.03375,14.41923020527857,18.269794721407624
14.450000000000035,41,54,0,0.045,14.428445747800621,21.55425219941349
14.474999999999977,56,84,1,0.03375,14.458137829912,16.86217008797654
14.500000000000036,48,65,0,0.045,14.48016617790815,19.83382209188661
14.512499999999976,65,89,1,0.03375,14.49641984359724,16.080156402737046
14.549999999999976,51,58,1,0.03375,14.529071358748753,20.928641251221897
14.550000000000036,67,72,0,0.045,14.531260997067484,18.73900293255132
14.587499999999975,60,54,1,0.03375,14.565945747800562,21.55425219941349
14.600000000000037,58,59,0,0.045,14.579227761485862,20.772238514174
14.624999999999975,36,56,1,0.03375,14.603758553274657,21.241446725317694
14.650000000000038,44,63,0,0.045,14.629853372434056,20.146627565982406
14.662499999999975,72,75,1,0.03375,14.644230205278568,18.269794721407624
14.699999999999974,77,55,1,0.03375,14.678602150537609,21.397849462365592
14.700000000000038,55,67,0,0.045,14.680478983382248,19.521016617790814
14.737499999999974,60,76,1,0.03375,14.719386608015615,18.113391984359726
14.750000000000039,46,80,0,0.045,14.73251221896387,17.487781036168133
14.774999999999974,60,52,1,0.03375,14.753132942326465,21.867057673509287
14.80000000000004,36,65,0,0.045,14.780166177908153,19.83382209188661
14.812499999999973,60,79,1,0.03375,14.794855816226757,17.64418377321603
14.85000000000004,41,66,0,0.045,14.830322580645202,19.67741935483871
14.849999999999973,68,95,1,0.03375,14.834858260019523,15.141739980449657
14.887499999999973,58,84,1,0.03375,14.870637829911995,16.86217008797654
14.900000000000041,46,60,0,0.045,14.879384164222914,20.6158357771261
14.924999999999972,70,78,1,0.03375,14.907199413489709,17.80058651026393
14.950000000000042,55,69,0,0.045,14.930791788856347,19.208211143695017
14.962499999999972,58,81,1,0.03375,14.945168621700851,17.331378299120235
14.999999999999972,65,63,1,0.03375,14.97985337243399,20.146627565982406
15.000000000000043,55,93,0,0.045,14.984545454545497,15.454545454545453
15.037499999999971,55,80,1,0.03375,15.020012218963803,17.487781036168133
15.050000000000043,60,47,0,0.045,15.027350928641294,22.649071358748778
15.07499999999997,62,89,1,0.03375,15.058919843597234,16.080156402737046
15.100000000000044,53,63,0,0.045,15.079853372434062,20.146627565982406
15.11249999999997,62,60,1,0.03375,15.091884164222844,20.6158357771261
15.150000000000045,51,89,0,0.045,15.133919843597308,16.080156402737046
15.14999999999997,48,93,1,0.03375,15.134545454545425,15.454545454545453
15.18749999999997,58,46,1,0.03375,15.164694525904173,22.805474095796676
15.200000000000045,55,72,0,0.045,15.181260997067493,18.73900293255132
15.22499999999997,60,74,1,0.03375,15.206573802541515,18.426197458455523
15.250000000000046,51,75,0,0.045,15.23173020527864,18.269794721407624
15.262499999999969,68,83,1,0.03375,15.245481427174944,17.01857282502444
15.300000000000047,41,72,0,0.045,15.281260997067495,18.73900293255132
15.299999999999969,58,76,1,0.03375,15.28188660801561,18.113391984359726
