onset_time,pitch,velocity,voice_id,duration,trigger_time,compensation_ms
0.0,72,33,0,0.10844891551456956,-0.024838709677419357,24.838709677419356
0.0,95,61,1,1.0641480097267115,-0.020459433040078204,20.459433040078203
0.0,96,86,2,0.6152395708919732,-0.016549364613880745,16.549364613880744
0.1204987950161884,95,38,0,0.4100041753477573,0.09644209902400855,24.05669599217986
0.5760589898470299,86,59,0,0.009000000000000001,0.5552867513328559,20.772238514174
0.5860589898470299,60,31,0,0.4872221702867066,0.5609074746955147,25.151515151515152
0.6835995232133035,47,112,2,0.1987734427443535,0.6711166297626682,12.482893450635387
0.904458904040363,68,76,2,0.39541169519999597,0.8863455120560033,18.113391984359726
1.1274169568322594,72,52,0,0.552904581679962,1.10554989915875,21.867057673509287
1.1823866774741238,31,77,1,0.032985197926748054,1.164429688226812,17.956989247311828
1.2190368973927328,80,115,1,0.03502829359916618,1.2070232121532412,12.013685239491693
1.2579572236140286,88,114,1,0.1065731721257151,1.245787135637489,12.170087976539591
1.3438052320403586,44,66,2,0.1133097445988587,1.3241278126855198,19.67741935483871
1.3763718593092675,86,26,1,0.16790691041786437,1.350438330472513,25.933528836754643
1.4697049482613127,40,71,2,1.239682738018899,1.4508095425917136,18.89540566959922
1.5629350931068946,48,93,1,0.9440961392774779,1.5474805476523492,15.454545454545453
1.7417553809211062,52,57,0,0.10120306479969046,1.7206703369328364,21.085043988269796
1.85420323069854,86,40,0,0.47194811029248795,1.830459340180456,23.743890518084065
2.3785900199124157,47,115,0,0.10875216496599713,2.366576334672924,12.013685239491693
2.4994257587635236,43,113,0,0.5639554006169524,2.487099268049936,12.32649071358749
2.6119308034152033,75,43,1,1.2924741043792065,2.588656121108263,23.27468230694037
2.847130212726756,86,66,2,0.5022213949521728,2.8274527933719176,19.67741935483871
3.1260428705601373,87,101,0,0.4186214970800328,3.111839547001975,14.203323558162268
3.405153984895837,85,80,2,0.16438046296706785,3.387666203859669,17.487781036168133
3.5911778673157295,60,53,0,0.2362608987120074,3.5694672123792683,21.71065493646139
3.587798943748135,49,75,2,0.18990761816583535,3.5695291490267276,18.269794721407624
3.798807408376841,64,117,2,1.0839626700974032,3.787106528611445,11.700879765395896
3.853689976995738,36,123,0,0.486601064888621,3.8429275136526293,10.762463343108504
4.048013141614321,77,102,1,0.2843785249061663,4.033966220793207,14.04692082111437
4.36398928039895,36,84,1,0.20838596944459192,4.347127110310974,16.86217008797654
4.394357826871984,79,94,0,0.356527126391652,4.379059684154486,15.298142717497555
4.595529246448497,79,31,1,0.07306705529972629,4.570377731296982,25.151515151515152
4.676714863448193,46,43,1,0.9871400973680098,4.653440181141253,23.27468230694037
4.7904990784182635,51,38,0,0.5207845470747668,4.766442382426083,24.05669599217986
